Nome,Marca,Unidade,Preço,Preço anterior,Preço por unidade
Salvaslip Evax Fresh en bolsitas 40 u,,,"1,99 €",,"0,05 €/Unidad"
Salvaslip Evax maxi 72 u,,,"4,23 €",,"0,06 €/Unidad"
Tampax compak lites (mini) 24 u,,,"3,35 €",,"0,14 €/Unidad"
Tampax Compak regular 22u,,,"3,35 €",,"0,15 €/Unidad"
Tampax Compak super 20 u,,,"3,35 €",,"0,17 €/Unidad"
Tampax Compak super plus 18u,,,"3,35 €",,"0,19 €/Unidad"
Tampón Secretísima con aplicador compacto normal 24 u,,,"2,50 €",,"0,10 €/Unidad"
Tampón Secretísima con aplicador compacto súper 24 u,,,"2,50 €",,"0,10 €/Unidad"
Tampones O.B. normal 32 u,,,"5,69 €",,"0,18 €/Unidad"
Tampones O.B. super 32 u,,,"5,69 €",,"0,18 €/Unidad"
Tampones Tampax Compak Pearl regular 16 u,,,"2,69 €","3,00 €","0,17 €/Unidad"
Tampones Tampax Compak Pearl super 16 u,,,"2,69 €","3,00 €","0,17 €/Unidad"
Tampones Tampax Compak Pearl superplus 16 u,,,"2,69 €","3,00 €","0,17 €/Unidad"
Toallitas Froiz húmedas adulto 64 u,,,"3,19 €",,"0,05 €/Unidad"
Toallitas íntimas Chilly fresh pocket WC 12 toallitas,,,"2,39 €",,"0,20 €/Unidad"
Abrillantador Alex Parquet 1500,,,"4,99 €",,"3,33 €/Litro"
Agua fuerte Froiz 1.5 l,,,"1,15 €",,"0,77 €/Litro"
Alcohol Froiz limpieza y quemar perfumado 1 l,,,"2,20 €",,"2,20 €/Litro"
Amoniaco Froiz 1.5 l,,,"0,62 €",,"0,41 €/Litro"
Amoniaco Froiz con detergente 1.5 l,,,"0,95 €",,"0,63 €/Litro"
Amoniaco Froiz perfumado 1.5 l,,,"0,62 €",,"0,41 €/Litro"
Amoniaco perfumado PQS 1 l,,,"0,95 €",,"0,95 €/Litro"
Desinfectante Amukina líq. 500ml,,,"3,95 €",,"7,90 €/Litro"
Desinfectante de superficies Cooperbacter acción bactericida aroma menta 200 ml,,,"1,99 €",,"9,95 €/Litro"
Desinfectante Sanytol hogar y tejidos 300 ml,,,"3,65 €",,"12,17 €/Litro"
Bayeta Ballerina multiusos lote ahorro 3 u,,,"1,58 €",,"0,53 €/Unidad"
Bayeta Froiz amarilla 3 u,,,"0,62 €",,"0,21 €/Unidad"
Bayeta Froiz microfibra cristales,,,"0,90 €",,"0,90 €/Unidad"
Bayeta Froiz microfibra muebles,,,"0,90 €",,"0,90 €/Unidad"
Bayeta Froiz microfibra multiusos 3 u (cocina-salón-baño),,,"1,90 €",,"0,63 €/Unidad"
Bayeta Froiz multiusos color 6 u,,,"0,85 €",,"0,14 €/Unidad"
Bayeta Rex Punto Blanco R51. P2,,,"1,15 €",,"0,58 €/Unidad"
Bayeta Spontex microfibra económica XXL 4+1 u,,,"3,99 €",,"1,00 €/Unidad"
Bayeta Spontex Origin especial posavajillas,,,"2,29 €",,"2,29 €/Unidad"
Bayeta Vileda cristales 40x36 cm,,,"1,95 €","2,15 €","1,95 €/Unidad"
Bayeta Vileda microfibra multi/confort unidad,,,"1,69 €",,"1,69 €/Unidad"
Bayeta Vileda Microfibra Ultra Fresh 2 u,,,"2,69 €",,"1,35 €/Unidad"
Bayeta Vileda microfibras style 4 u,,,"4,25 €",,"1,06 €/Unidad"
Bayeta Vileda suave antibacterias pack 2,,,"1,75 €",,"0,88 €/Unidad"
Bayeta Vileda ultra fresh suave (35x40 cm.) 2+1 u,,,"1,69 €",,"0,85 €/Unidad"
Posavajillas decorado Spontex 40x50 cm,,,"1,99 €",,"1,99 €/Unidad"
Posavajillas Froiz 50x38 cm,,,"1,15 €",,"1,15 €/Unidad"
Cepillo Vigar buque plast,,,"3,09 €",,"3,09 €/Unidad"
Cepillo Vigar gardenia,,,"1,99 €",,"1,99 €/Unidad"
Cepillo Vigar Jet fregar con asa,,,"2,29 €",,"2,29 €/Unidad"
Cepillo Vigar lava platos super,,,"2,15 €",,"2,15 €/Unidad"
Cepillo Vigar Lavavasos y Botellas Hergo,,,"4,25 €",,"4,25 €/Unidad"
Cepillo Vikinga buque,,,"1,29 €",,"1,29 €/Unidad"
Cepillo Vikinga fregar 4x9 plastik,,,"0,64 €",,"0,64 €/Unidad"
Cepillo Vileda 3action,,,"4,49 €",,"4,49 €/Unidad"
Cera Alex autobrillante incol.bolsit.200,,,"1,58 €",,"7,90 €/Litro"
Cera Alex líquida incolora 750 ml,,,"3,49 €",,"4,65 €/Litro"
Cera Alex parquet profes. 750ml,,,"3,99 €",,"5,32 €/Litro"
Cera Alex perf. incolora lata 500 g,,,"7,99 €",,"15,98 €/Kilogramo"
Cera Hechicera marmol y terrazo 750 ml,,,"2,94 €",,"3,92 €/Litro"
Cera Hechicera parquet y madera 750 ml,,,"3,29 €",,"4,39 €/Litro"
Cubo + Escurridor Froiz 13 l,,,"3,59 €",,"3,59 €/Unidad"
Cubo Froiz ovalado 15 l + Escurridor,,,"3,89 €",,"3,89 €/Unidad"
Cubo Vigar rectangular azul con escurridor automático y ruedas 16 l,,,"10,85 €",,"10,85 €/Unidad"
Cubo Vigar rectangular super con escurridor 12 l,,,"10,25 €",,"10,25 €/Unidad"
Cubo Vileda escurrefácil 10 l,,,"10,59 €",,"10,59 €/Unidad"
Desatascador Froiz líquido 1 l,,,"1,90 €",,"1,90 €/Litro"
Desatascador Vigar Fuelle con Agarre Ergonómico surtido,,,"1,89 €",,"1,89 €/Unidad"
Desatascador Vikinga de fuelle,,,"1,29 €",,"1,29 €/Unidad"
Desatascador Wc Net Gel Energy 1 l,,,"5,99 €",,"5,99 €/Litro"
Sosa cáustica Froiz tarro 1 kg,,,"3,40 €",,"3,40 €/Kilogramo"
Wc Net fosas sépticas 20 u,,,"11,87 €",,"0,59 €/Unidad"
Wc Net limpia tuberías gel 1l,,,"5,99 €",,"5,99 €/Litro"
Limpiador KH-7 cocina pistola 750 ml,,,"2,89 €",,"3,85 €/Litro"
Limpiador Tenn brillante cocina pistola 500 ml,,,"2,79 €",,"5,58 €/Litro"
Limpiahornos Mr. Músculo Forza 300 ml,,,"5,49 €",,"18,30 €/Litro"
Quitagrasa KH-7 fórmula ecológica pistola 650 ml,,,"3,39 €",,"5,22 €/Litro"
Quitagrasa KH-7 pistola 780 ml,,,"2,95 €",,"3,78 €/Litro"
Quitagrasa KH-7 recambio 780 ml,,,"2,90 €",,"3,72 €/Litro"
Quitagrasa Zorka pistola 750 ml,,,"2,79 €",,"3,72 €/Litro"
Quitagrasa Zorka recambio 1 l,,,"2,79 €",,"2,79 €/Litro"
Quitagrasas Froiz pistola 750 ml,,,"1,30 €",,"1,73 €/Litro"
Escoba Froiz curva,,,"1,15 €",,"1,15 €/Unidad"
Escoba Froiz decorada con mango,,,"4,69 €",,"4,69 €/Unidad"
Escoba Froiz Florida,,,"1,99 €",,"1,99 €/100 ml."
Escoba Froiz moqueta y exterior,,,"2,70 €",,"2,70 €/Unidad"
Escoba Froiz multiusos,,,"2,15 €",,"2,15 €/Unidad"
Escoba Froiz pelo superficies delicadas,,,"3,25 €",,"3,25 €/Unidad"
Escoba Vigar Basic Canoa Ladybug con Palo,,,"15,50 €",,"15,50 €/Unidad"
Escoba Vigar cool exterior ref. 5235,,,"3,29 €",,"3,29 €/Unidad"
Escoba Vigar goma,,,"8,75 €",,"8,75 €/Unidad"
Escoba Vigar Nova Lady,,,"3,15 €",,"3,15 €/Unidad"
Escoba Vigar Nova maxi,,,"4,29 €",,"4,29 €/Unidad"
Escoba Vigar Nova mini,,,"2,75 €",,"2,75 €/Unidad"
Escoba Vikinga Niza c/mango,,,"2,19 €",,"2,19 €/Unidad"
Escobón Froiz con mango,,,"2,99 €",,"2,99 €/Metro"
Escobón Vigar pelo puro,,,"6,99 €",,"6,99 €/Unidad"
Escobilla Vigar WC redonda,,,"1,49 €",,"1,49 €/Unidad"
Escobillero Vigar Zara,,,"3,75 €",,"3,75 €/Unidad"
Set Escobillero WC Flower Power Cactus Blanco,,,"9,95 €",,"9,95 €/Unidad"
Soporte Mariño c/escobilla standard,,,"2,45 €",,"2,45 €/Unidad"
Almohadilla limpieza Froiz superficies delicadas 2 u,,,"0,89 €",,"0,45 €/Unidad"
Estropajo Ajax acero inoxidable 20 g,,,"1,10 €",,"1,10 €/Unidad"
Estropajo Ajax jabonoso brillo 7 u,,,"0,99 €",,"0,14 €/Unidad"
Estropajo Froiz acero inoxidable pack-3,,,"0,70 €",,"0,23 €/Unidad"
Estropajo Froiz con esponja 2 u,,,"0,67 €",,"0,34 €/Unidad"
Estropajo Froiz salvauñas pack-3,,,"0,65 €",,"0,22 €/Unidad"
Estropajo Froiz superficies delicadas no raya pack 2 u azul,,,"0,60 €",,"0,30 €/Unidad"
Estropajo Froiz verde 15x20 pack 2,,,"0,62 €",,"0,31 €/Unidad"
Estropajo Scotch-Brite baño fibra blanco,,,"1,35 €",,"1,35 €/Unidad"
Estropajo Scotch-Brite no-raya grande,,,"1,19 €",,"1,19 €/Unidad"
Estropajo Scotch-Brite salvauñas 2 u,,,"0,99 €",,"0,50 €/Unidad"
Estropajo Scotch-Brite verde esponja,,,"1,00 €",,"1,00 €/Unidad"
Estropajo Scotch-Brite verde gigante,,,"0,98 €",,"0,98 €/Unidad"
Estropajo Scotch-Brite verde popular,,,"0,92 €",,"0,92 €/Unidad"
Estropajo Spontex Frotaspon pack 2,,,"1,65 €",,"0,83 €/Unidad"
Estropajo Spontex salvauñas frotamax,,,"0,89 €",,"0,89 €/Unidad"
Estropajo Vileda fibra con esponja antibacterias 2+1 gratis,,,"1,55 €",,"0,78 €/Unidad"
Nanas Níquel tamaño grande 21g,,,"0,99 €",,"0,99 €/Unidad"
Fregasuelos Briflor brisa marina 1 l,,,"1,35 €",,"1,35 €/Litro"
Fregasuelos Briflor flores frescas 1 l,,,"1,35 €",,"1,35 €/Litro"
Fregasuelos Briflor limón fresco 1 l,,,"1,35 €",,"1,35 €/Litro"
Fregasuelos Briflor manzana verde 1 l,,,"1,35 €",,"1,35 €/Litro"
Fregasuelos Donaire concentrado 750 ml,,,"2,49 €",,"3,32 €/Litro"
"Fregasuelos Froiz floral 1,5 l",,,"0,95 €",,"0,63 €/Litro"
Fregasuelos Froiz pétalos concentrado 1 l,,,"1,59 €",,"1,59 €/Litro"
"Fregasuelos Froiz pino 1,5 l",,,"0,95 €",,"0,63 €/Litro"
Fregona Bahia extra algodón recambio,,,"1,95 €",,"1,95 €/Unidad"
Fregona Froiz algodón especial nº 3,,,"1,09 €",,"1,09 €/Unidad"
Fregona Froiz microfibra,,,"1,49 €",,"1,49 €/Unidad"
Fregona Froiz Microfibra en tiras azul,,,"1,99 €",,"1,99 €/Unidad"
Fregona Froiz suave y absorbente amarillo,,,"0,79 €",,"0,79 €/Unidad"
Fregona Froiz super absorbente azul,,,"0,99 €",,"0,99 €/Unidad"
Fregona Juan XXIII algodón,,,"1,19 €",,"1,19 €/Unidad"
Fregona Rex algodón extralarga ref. 220,,,"1,59 €",,"1,59 €/Unidad"
Fregona Vigar Microfibra Ladybug con Palo,,,"13,50 €",,"13,50 €/Unidad"
Fregona Vigar microfibra turquesa,,,"4,75 €",,"4,75 €/Unidad"
Fregona Vileda Microfibras Tiras Super,,,"3,55 €",,"3,55 €/Unidad"
Fregona Vileda Super,,,"2,29 €",,"2,29 €/Unidad"
Fregona Vileda super suave,,,"2,09 €",,"2,09 €/Unidad"
Gamuza Pla atrapapolvo 40x30 20 u,,,"1,15 €",,"0,06 €/Unidad"
Gamuza Rex 2 caras 43 x 40 ref. 33,,,"1,09 €",,"1,09 €/Unidad"
Vajillas Fairy maxi poder anti-goteo 540 ml,,,"4,75 €",,"8,80 €/Litro"
Vajillas Fairy ultra original 820ml,,,"2,62 €",,"3,20 €/Litro"
Vajillas Fairy ultra poder 800 ml,,,"4,45 €",,"5,56 €/Litro"
Vajillas Flota 750 ml,,,"1,05 €",,"1,40 €/Litro"
"Vajillas Froiz 1,5 l",,,"1,36 €",,"0,91 €/Litro"
Vajillas Froiz concentrado 1 l,,,"1,50 €",,"1,50 €/Litro"
Vajillas Froiz concentrado aloe vera dosificador 600 ml,,,"1,39 €",,"2,32 €/Litro"
Vajillas Froiz superconcentrado higiene 1 l,,,"1,42 €",,"1,42 €/Litro"
Ambientador Finish limón 60 lav,,,"4,29 €",,"0,07 €/Lavado"
Ambientador Selex lavavajillas cítrico 80 lavados,,,"0,99 €",,"0,01 €/Lavado"
Lavavajillas máquina Selex en gel todo en 1 36 lavados 720 ml,,,"2,99 €",,"4,15 €/Litro"
Limpiamáquinas Finish 250 ml,,,"3,42 €",,"13,68 €/Litro"
Sal para lavavajillas Selex 3 kg,,,"1,10 €",,"0,37 €/Kilogramo"
Vajillas Finish abrillantador 500 ml,,,"4,80 €",,"9,60 €/Litro"
Vajillas Finish eco-recarga 2 kg,,,"6,55 €",,"3,28 €/Kilogramo"
Vajillas Finish Quantum todo en 1 25 u,,,"6,00 €",,"0,24 €/Cacito"
Vajillas Finish sal 2 kg,,,"4,99 €",,"2,50 €/Kilogramo"
Vajillas Finish Todo en 1 Regular 25 u + 7 u,,,"9,49 €",,"0,38 €/Unidad"
Vajillas Froiz abrillantador limón 1 l,,,"1,60 €",,"1,60 €/Litro"
Vajillas Froiz todo en 1 32 u,,,"2,88 €",,"0,09 €/Unidad"
Vajillas máquina Fairy platinum plus limón 15 cápsulas,,,"6,75 €",,"0,45 €/Unidad"
Vajillas máquina Fairy todo en 1 21 cápsulas,,,"4,99 €",,"0,24 €/Cacito"
Vajillas máquina Finish ultimate 18+18 u,,,"8,75 €",,"0,49 €/Lavado"
Vajillas máquina Somat Excellence 18+3 cápsulas,,,"4,99 €","6,49 €","0,28 €/Lavado"
Vajillas máquina Somat gel antigrasa 35 lavados,,,"4,99 €","5,75 €","0,14 €/Lavado"
Vajillas máquina Somat gel lima-limón 50 lavados,,,"8,13 €",,"0,16 €/Lavado"
Vajillas máquina Somat gel Todo en 1 lima y limón 40 lavados,,,"5,75 €",,"0,14 €/Lavado"
Vajillas máquinas Somat todo en 1 30 lavados,,,"5,99 €",,"0,20 €/Lavado"
Lejía Conejo 2 l,,,"1,99 €",,"1,00 €/Litro"
Lejía Conejo 2 l frescor floral,,,"1,99 €",,"1,00 €/Litro"
Lejía Conejo 4 l,,,"3,94 €",,"0,99 €/Litro"
Lejía Estrella azul 1.43 l,,,"1,95 €",,"1,36 €/Litro"
Lejía Estrella azul 2.87 l,,,"3,89 €",,"1,36 €/Litro"
Lejía Estrella limón 1.43 l,,,"1,95 €",,"1,36 €/Litro"
Lejía Estrella pino 1.43 l,,,"1,95 €",,"1,36 €/Litro"
Lejía Froiz 2 l,,,"0,75 €",,"0,38 €/Litro"
Lejía Froiz 5 l,,,"1,50 €",,"0,30 €/Litro"
Lejía Froiz baño 2 l,,,"1,00 €",,"0,50 €/Litro"
Lejía Froiz con detergente 2 l,,,"1,00 €",,"0,50 €/Litro"
Lejía Sarmiento desinfección de alimentos 2 l,,,"0,99 €",,"0,50 €/Litro"
Lejía Sarmiento Novoa 1 l,,,"0,48 €",,"0,48 €/Litro"
Limpiacristales Cristasol cristalino pistola 750 ml,,,"1,76 €",,"2,35 €/Litro"
Limpiacristales Froiz pistola 1 l,,,"1,15 €",,"1,15 €/Litro"
Limpiacristales Vigar microfibra c/rosca,,,"9,99 €",,"9,99 €/Unidad"
Limpiamamparas Vigar rengo azul,,,"3,75 €",,"3,75 €/Unidad"
Toallitas cristales Micasa 30 u,,,"1,49 €",,"0,05 €/Unidad"
Limpiajuntas Baldosinín aplicador 200 ml,,,"2,25 €",,"11,25 €/Litro"
Limpiador Froiz acero inoxidable aluminio 500 ml,,,"2,79 €",,"5,58 €/Litro"
Limpiaplata Aerhogar 150 ml,,,"2,99 €",,"19,93 €/Litro"
Limpiaplata Tarni-Shield 250 ml,,,"2,95 €",,"11,80 €/Litro"
Limpiamuebles Froiz spray 300 ml,,,"1,09 €",,"3,63 €/Litro"
Limpiamuebles Pronto Aloe Vera pis.500ml,,,"4,45 €",,"8,90 €/Litro"
Limpiamuebles Pronto revitaliza 250 ml,,,"4,15 €",,"16,60 €/Litro"
Limpiamuebles Pronto spray 300 ml,,,"3,15 €",,"10,50 €/Litro"
Reparador Pronto normal frasco 100 ml,,,"4,30 €",,"43,00 €/Litro"
Reparador Pronto oscuro 100 ml,,,"4,30 €",,"43,00 €/Litro"
Limpiatapicerías Caramba espuma 300 ml,,,"4,79 €",,"15,97 €/Litro"
Volvone alfombras moquetas 500 ml,,,"1,39 €",,"2,78 €/Litro"
Limpiavitrocerámica Frosch crema naranja 500 ml,,,"3,99 €",,"7,98 €/Litro"
Limpiavitrocerámica Vitroclen 3 en 1 pistola 250ml,,,"4,99 €",,"2,00 €/100 ml."
Limpiavitrocerámicas Froiz 500 ml,,,"1,95 €",,"3,90 €/Litro"
Limpiavitrocerámicas KH-7 750 ml pistola,,,"3,95 €",,"5,27 €/Litro"
Limpiavitrocerámicas Vitroclen 200 ml,,,"4,39 €",,"21,95 €/Litro"
Limpiador Ajax shower power 500 ml,,,"2,45 €",,"4,90 €/Litro"
Limpiador baño Don Limpio pistola 720 ml,,,"2,49 €",,"3,46 €/Litro"
Limpiador Bref WC blue activ hygiene 50 g,,,"2,15 €",,"43,00 €/Kilogramo"
Limpiador Bref WC duo activo gel verde 50 ml,,,"1,95 €",,"39,00 €/Litro"
Limpiador Bref WC duplo poder activo natura 2x50 g,,,"2,39 €","3,19 €","23,90 €/Kilogramo"
Limpiador Bref WC gel brillante océano 42 g,,,"2,15 €",,"51,19 €/Kilogramo"
Limpiador Bref WC poder activo lavanda 50 g,,,"1,90 €",,"38,00 €/Kilogramo"
Limpiador Bref WC poder activo natural 50 g,,,"1,65 €",,"33,00 €/Kilogramo"
Limpiador Cillit Bang suciedad & manchas de humedad pistola 750 ml,,,"4,29 €",,"5,72 €/Litro"
Limpiador Don Limpio baño 1.3 l,,,"2,49 €",,"1,92 €/Litro"
Limpiador Froiz baños 1.5 l,,,"1,45 €",,"0,97 €/Litro"
Limpiador Froiz WC en gel lejía perfumada 1 l,,,"1,00 €",,"1,00 €/Litro"
Limpiador Froiz WC pino 1 l,,,"1,00 €",,"1,00 €/Litro"
Limpiador KH-7 baño pistola 750 ml,,,"2,95 €",,"3,93 €/Litro"
Limpiador Sanytol baños pistola 750 ml,,,"2,85 €",,"3,80 €/Litro"
Limpiador Tenn baño 1.3 l,,,"2,35 €",,"1,81 €/Litro"
Limpiador WC Net lejia gel 750 g,,,"2,59 €",,"3,45 €/Litro"
Pato Agua azul apto single,,,"1,72 €",,"1,72 €/Unidad"
Pato Bloc azul fresco aparato,,,"2,35 €",,"2,35 €/Unidad"
Pato Bloc recambio azul duplo,,,"3,29 €",,"1,65 €/Unidad"
Pato Discos Activos Lima,,,"2,90 €",,"2,90 €/Unidad"
Pato Discos Activos Marino,,,"2,90 €",,"2,90 €/Unidad"
Pato Gel activo rec. azul duplo,,,"4,49 €",,"4,49 €/Unidad"
Pato matic pastillas azul 50 g,,,"2,89 €",,"57,80 €/Kilogramo"
Pato WC extra power lejía con espuma marine 750 ml,,,"2,99 €",,"3,99 €/Litro"
Pato WC gel activo azul aparato 55 ml,,,"2,99 €",,"54,36 €/Litro"
Pato WC líquido azul 750 ml,,,"2,79 €",,"3,72 €/Litro"
Pato WC líquido verde pino 750 ml,,,"2,79 €",,"3,72 €/Litro"
Limpiador Foxter quemadores 500 ml,,,"3,12 €",,"6,24 €/Litro"
Piedra de cocina Raspita,,,"1,29 €",,"1,29 €/Unidad"
Pulimento para cocinas Foxter tubo 50 ml,,,"1,98 €",,"39,60 €/Litro"
Desinfectante mopas Garbipolvo 600,,,"4,25 €",,"7,08 €/Litro"
Limpiador Cif crema blanco 750 ml,,,"2,55 €",,"3,40 €/Litro"
Limpiador Cillit Bang cal y suciedad pistola 1 l,,,"3,90 €",,"3,90 €/Litro"
Limpiador Disiclín brisa polar 1 l,,,"1,39 €",,"1,39 €/Litro"
Limpiador Disiclín desinf. floral 1 l,,,"1,39 €",,"1,39 €/Litro"
Limpiador Disiclín desinf. lavanda 1 l,,,"1,39 €",,"1,39 €/Litro"
Limpiador Disiclín desinf. manzana 1 l,,,"1,39 €",,"1,39 €/Litro"
Limpiador Don Limpio borrador Mágico 2 u,,,"2,59 €",,"2,59 €/Unidad"
Limpiador Don Limpio limón 1.3 l,,,"2,49 €",,"1,92 €/Litro"
Limpiador Don Limpio PH neutro 1.3 l,,,"2,49 €",,"1,92 €/Litro"
Limpiador Duende/Hechicera madera 750 ml,,,"2,65 €",,"3,53 €/Litro"
Limpiador Froiz colonia 1.5 l,,,"1,39 €",,"0,93 €/Litro"
Limpiador Froiz lavanda 1.5 l,,,"1,39 €",,"0,93 €/Litro"
Limpiador Froiz Multiusos pistola 1 l,,,"1,25 €",,"1,25 €/Litro"
Limpiador Froiz pino 1.5 l,,,"1,80 €",,"1,20 €/Litro"
Limpiador Froiz superficies delicadas 1.5 l,,,"1,45 €",,"0,97 €/Litro"
Limpiador Glassex Multiusos pistola 750,,,"2,15 €",,"2,87 €/Litro"
Limpiador Las 3 Brujas 1 l,,,"2,79 €",,"2,79 €/Litro"
Limpiador Pronto jabonoso madera 750 ml,,,"4,15 €",,"5,53 €/Litro"
Limpiador Tenn 1.3 l,,,"2,35 €",,"1,81 €/Litro"
Limpiador Tenn aloe vera 1.3 l,,,"2,35 €",,"1,81 €/Litro"
Limpiador Tenn brillante Euphoria 1.25 l,,,"2,55 €",,"2,04 €/Litro"
Limpiador Tenn brillante maderas 1.25 l,,,"2,55 €",,"2,04 €/Litro"
Limpiador Tenn brillante universal 1.25 l,,,"2,55 €",,"2,04 €/Litro"
Limpiahogar multisuperficie desinfectante Disiclin 1.4 l,,,"2,20 €",,"1,57 €/Litro"
Limpiahogar Sanytol 1.2l,,,"3,10 €",,"2,58 €/Litro"
Limpialámparas Aerhogar 500 ml,,,"2,99 €",,"5,98 €/Litro"
Multisuperficies Disiclín desinfectante 750 ml,,,"1,99 €",,"2,65 €/Litro"
Multiusos Sanytol pistola 750 ml,,,"2,59 €",,"3,45 €/Litro"
Superlimpiador KH-7 desifectante pistola 650 ml,,,"3,79 €",,"5,83 €/Litro"
Toallitas Sanytol desinfectantes multiusos 30 u,,,"1,99 €",,"0,07 €/Unidad"
Vinagre de limpieza Froiz multiusos 1 l,,,"0,79 €",,"0,79 €/Litro"
Mango escoba Froiz 1.20,,,"0,85 €",,"0,85 €/Unidad"
Mango Fregona Froiz aluminio 1.40,,,"1,80 €",,"1,80 €/Unidad"
Mango Fregona Froiz/Cisne chapa 140 cm,,,"0,89 €",,"0,89 €/Unidad"
Mango Mariño cepillo madera,,,"0,99 €",,"0,99 €/Unidad"
Mango Vigar metálico pintado 130,,,"2,15 €",,"2,15 €/Unidad"
Mango Vileda de fregona universal,,,"3,69 €",,"3,69 €/Unidad"
Palo Vigar Aluminio Doble Rosca 140 cm,,,"4,45 €",,"4,45 €/Unidad"
Palo Vigar Metálico Antideslizante 140 cm,,,"2,25 €",,"2,25 €/Unidad"
Palo Vigar Universal Extensible 150 cm,,,"3,25 €",,"3,25 €/Unidad"
Mopa Rozenbal Atrapapolvo con 10 gamuzas,,,"3,99 €",,"3,99 €/Unidad"
Mopa Spontex Microfibra con mango,,,"8,95 €",,"8,95 €/Unidad"
Mopa Spontex Microfibre recambio,,,"4,45 €",,"4,45 €/Unidad"
Paño Froiz Cocina Microfibra secamanos 50x50,,,"2,10 €",,"2,10 €/Unidad"
Paño Froiz Secavajillas Microfibra 2 u 50x50,,,"2,50 €",,"1,25 €/Unidad"
Paño Gorila algodón cocina,,,"0,67 €",,"0,67 €/Unidad"
Paño Gorila piso blanco,,,"0,67 €",,"0,67 €/Unidad"
Paño Gorila punto barrado,,,"0,57 €",,"0,57 €/Unidad"
Paño Rex cocina rizo ref. 883,,,"1,65 €",,"1,65 €/Unidad"
Plumero avestruz E.Koronis,,,"3,95 €",,"3,95 €/Unidad"
Plumero Pronto atrapapolvo apto +2 rec,,,"3,99 €",,"3,99 €/Unidad"
Plumero Pronto atrapapolvo recambio,,,"4,95 €",,"4,95 €/Unidad"
Plumero Vigar microfibra ref. 5368,,,"7,15 €",,"7,15 €/Unidad"
Plumero Vigar microfibra rengo redondo verde,,,"6,85 €",,"6,85 €/Unidad"
Pala mano Froiz + cepillo,,,"2,35 €",,"2,35 €/Unidad"
Recogedor Froiz con goma + palo fijo,,,"1,59 €",,"1,59 €/Unidad"
Recogedor Froiz con goma abatible,,,"2,49 €",,"2,49 €/Unidad"
Recogedor Vigar Antivuelco con Palo Plegable,,,"5,55 €",,"5,55 €/Unidad"
Recogedor Vigar Ladybug cib Palo Plegable,,,"9,99 €",,"9,99 €/Unidad"
Antical Calgón pastillas 15 u,,,"6,99 €",,"0,47 €/Unidad"
Limpia lavadoras Colon Todo en 1 250 ml,,,"3,99 €",,"15,96 €/Litro"
Agua de planchado Mimosín vaporesse 1 l,,,"1,85 €",,"1,85 €/Litro"
Agua destilada Froiz 5 l,,,"2,00 €",,"0,40 €/Litro"
Apresto instantáneo Toke spray 500 ml,,,"4,85 €",,"9,70 €/Litro"
Cepillo Vigar ropa adhesivo,,,"3,25 €",,"3,25 €/Unidad"
Cepillo Vikinga ropa 1200 BB PVC,,,"1,35 €",,"1,35 €/Unidad"
Cepillo Rayen 6357 ropa y tapicerías,,,"5,95 €",,"5,95 €/Unidad"
Cepillo Rayen para lana 6192,,,"4,75 €",,"4,75 €/Unidad"
Detergente Ariel actilift en polvo 65 cacitos,,,"15,55 €",,"0,24 €/Cacito"
Detergente Ariel básico 35 cacitos,,,"6,95 €",,"0,20 €/Cacito"
Detergente Ariel líquido básico 31 lavados,,,"4,85 €",,"0,16 €/Lavado"
Detergente Ariel líquido original 38+8 lavados,,,"9,99 €",,"0,26 €/Lavado"
Detergente Ariel pods 3 en 1 18 lavados,,,"4,39 €","5,34 €","0,24 €/Lavado"
Detergente Ariel pods original 26 + 9 lavados,,,"9,99 €",,"0,38 €/Lavado"
Detergente Ariel pods Oxi 14 u,,,"4,95 €",,"0,35 €/Lavado"
Detergente Colon Gel Activo Azul 34 lavados,,,"7,15 €",,"0,21 €/Lavado"
Detergente Colon Gel Líquido Nenuco 34 cacitos,,,"4,85 €",,"0,14 €/Cacito"
Detergente Colon maleta 30 + 3 cacitos,,,"8,85 €",,"0,30 €/Cacito"
Detergente Dixan 52 cacitos,,,"10,12 €",,"0,19 €/Cacito"
Detergente Dixan gel 55 lavados,,,"8,46 €",,"0,15 €/Lavado"
Detergente Dixan gel aromaterapia orquídea Malasia & sándalo 37 lavados,,,"4,95 €","6,95 €","0,13 €/Lavado"
Detergente Dixan gel azul 37 lavados,,,"4,95 €","5,75 €","0,13 €/Lavado"
Detergente Dixan gel frescor 37 lavados,,,"4,95 €","6,95 €","0,13 €/Lavado"
Detergente Dixan trio caps 23 lavados,,,"4,95 €","6,95 €","0,22 €/Lavado"
Detergente Dixan trio caps aromaterapia 23 lavados,,,"4,95 €","6,95 €","0,22 €/Lavado"
Detergente Flota líquido jabón puro con esencia de menta fresca 25 lavados,,,"3,40 €",,"0,14 €/Lavado"
Detergente Flota Marsella 50 cacitos,,,"7,19 €",,"0,14 €/Cacito"
Detergente Froiz a mano polvo 600 g 15 lavados,,,"1,06 €",,"0,07 €/Lavado"
Detergente Froiz líquido aloe vera 2 l 27 lavados,,,"2,59 €",,"0,10 €/Lavado"
Detergente Froiz líquido gel 3 l 33 lavados,,,"4,50 €",,"0,14 €/Lavado"
Detergente Froiz líquido gel color 27 lavados,,,"2,99 €",,"0,14 €/Lavado"
