Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo,EAN
CEBOLA MARGÃO PICADA 30G,MARGÃO,0.03 KG,2.89€,96.33 €/Kg,None,5601063051715
POSTA PESCANOVA PESCADA Nº5 PARA COZER 800G,PESCANOVA,0.8 KG,13.99€,17.49 €/Kg,None,8410063005232
ESFREGÃO SCOTCH BRITE GRANDE UN,SCOTCH BRITE,UN,1.84€,1 €/un,1.00€,8410001100333
FLOCOS SALUTEM CENTEIO INTEGRAL 375G,SALUTEM,0.375 KG,1.09€,2.91 €/Kg,None,5601557003138
TEQUILA SIERRA BRANCA 0.70L,SIERRA,0.7 LT,16.90€,24.14 €/Lt,None,4062400115483
REFRIGERANTE JOI SEM GÁS LARANJA E MARACUJÁ 1.5L,JOI,1.5 LT,1.90€,1.27 €/Lt,None,5601146232512
VINHO TINTO CABEÇA DE TOIRO RESERVA TEJO 0.75L,CABEÇA DE TOIRO,0.75 LT,7.49€,7.32 €/Lt,5.49€,5601110113205
LOMBOS IGLO PESCADA 400G,IGLO,0.4 KG,7.15€,11.23 €/Kg,4.49€,5600316861064
ARROZ CAROLINO SALUDÃES 1KG,SALUDÃES,1KG,1.29€,1.29 €/Kg,None,5601260046101
Autobrilhante Calçado Com Esponja Preto Búfalo 50ml,BUFALO,0.05 LT,2.25€,45 €/Lt,None,4009175139535
ERVA MARGÃO DOCE EM GRÃO 40G,MARGÃO,0.04 KG,1.39€,34.75 €/Kg,None,5601063000706
NOZ MARGÃO MOSCADA MOÍDA FRASCO 32G,MARGÃO,0.032 KG,2.69€,84.06 €/Kg,None,5601063052279
AZEITE OLIVEIRA DA SERRA 3L,OLIVEIRA DA SERRA,3 LT,19.59€,6.53 €/Lt,None,5601175103173
CANELA MARGÃO MOIDA 39G,MARGÃO,0.03 KG,2.49€,83 €/Kg,None,5601063001345
ÓLEO DABRI CEDRO 200ML,DABRI,0.2 LT,2.05€,7.2 €/Lt,1.44€,5601148233005
ESFREGÃO SCOTCH BRITE FIBRA VERDE NORMAL 1UN,SCOTCH BRITE,1UN,1.15€,1.15 €/un,None,8410001100326
CEREAIS KELLOGG'S SMACKS 375G,KELLOGG'S,0.375 KG,2.99€,7.97 €/Kg,None,4003994637159
Autobrilhante Calçado Com Esponja Branco Búfalo 50ml,BUFALO,0.05 LT,2.25€,45 €/Lt,None,4009175139559
SALADEIRA ALGARVE VISTA ALEGRE PORCELANA DECORADA,VISTA ALEGRE,None,24.99€,24.99 €/un,None,5602873271645
Creme de Rosto de Dia Nutritivo para Pele Sensível NIVEA 50 ml,NIVEA,0.05 LT,5.99€,119.8 €/Lt,None,4005808192045
ESPETADAS DE PERÚ NUTRIAVES KG,NUTRIAVES,1 KG,7.98€,7.98 €/Kg,None,2837028000006
Pensos Higiénicos Cottonlike Normal com Abas Evax 16 un,EVAX,None,2.55€,0.16 €/un,None,8410108659024
PRATO DE SOPA ALGARVE VISTA ALEGRE PORCELANA DECORADO,VISTA ALEGRE,None,5.99€,5.99 €/un,None,5602873271461
FÍGADO DE PERÚ KG,MF,1 KG,2.99€,2.99 €/Kg,None,2830511000002
BOLACHA CUÉTARA MARIA D'ORO 200G,CUÉTARA,0.2 KG,1.14€,5.7 €/Kg,None,8434165446960
PARAFINA DE MOTOR REDEX 500ML,REDEX,0.5 LT,3.49€,6.98 €/Lt,None,5601214456581
VINHO BRANCO RCV MALVÁSIA PORTO 0.75L,RCV,0.75 LT,6.49€,8.65 €/Lt,None,5601109111557
MASSA DE POLIR BISNAGA REDEX 125ML,REDEX,0.125 LT,4.99€,39.92 €/Lt,None,5601214454105
ADITIVO DIESEL REDEX 250ML,REDEX,0.25 LT,4.49€,17.96 €/Lt,None,5601214406210
Tónico de Limpeza de Rosto Suave NIVEA 200 ml,NIVEA,0.2 LT,5.99€,29.95 €/Lt,None,4005808182688
CERA REDEX ACTIVA PISTOLA 500ML,REDEX,0.5 LT,3.89€,7.78 €/Lt,None,5601214454013
PICKLES FERBAR EM VINAGRE 680(380)G,FERBAR,0.68 KG,2.29€,6.03 €/Kg,None,5601319000825
FLOCOS SALUTEM AVEIA GROSSOS INTEGRAIS 375G,SALUTEM,0.375 KG,1.09€,2.91 €/Kg,None,5601557003114
VINHO BRANCO CAVES VELHAS BUCELAS 0.75L,CAVES VELHAS,0.75 LT,5.49€,7.32 €/Lt,None,5601239001445
Creme de Mãos Intensivo ATRIX 150 ml,ATRIX,0.15 LT,4.99€,33.27 €/Lt,None,4005808274574
COGUMELOS INTEIROS FERBAR 290(155)G,FERBAR,0.29 KG,1.79€,6.17 €/Kg,None,5601319000474
POLPA DE TOMATE GULOSO 3X210G,GULOSO,0.63 KG,2.39€,3.79 €/Kg,None,5601019012180
TOSTA DIATOSTA GRILL DIETÉTICA 225G,DIATOSTA,0.225 KG,1.69€,7.51 €/Kg,None,5601560111158
CALDO KNORR CARNE 16 CUBOS 160G,KNORR,160G,3.69€,23.06 €/Kg,None,5601038001301
BOLACHA CUÉTARA WAFFER DEMECAO 150G,CUÉTARA,0.15 KG,1.99€,13.27 €/Kg,None,8434165442870
MOSCATEL BACALHÔA DE SETÚBAL SUPERIOR 0.75L,BACALHÔA,0.75 LT,19.99€,19.99 €/Lt,14.99€,5601237149224
ESPARGUETE BUITONI LONGO N.71 500G,BUITONI,0.5 KG,1.79€,3.58 €/Kg,None,8000270010671
ATUM EM ÓLEO BOM PETISCO 120(78)G,BOM PETISCO,0.12 KG,1.69€,14.08 €/Kg,None,5601029004014
BOLACHA VIEIRA DE CASTRO ÁGUA E SAL 125G,VIEIRA DE CASTRO,125G,0.95€,7.6 €/Kg,None,5601008100058
POLVO GRANDE KG,None,1 KG,19.99€,19.99 €/Kg,None,2850285000008
CHÁ LIPTON PRETO YELLOW LABEL 20 SAQUETAS,LIPTON,None,1.69€,0.06 €/un,1.10€,8000990100010
CALDO KNORR PEIXE 8 CUBOS 80G,KNORR,0.08 KG,2.15€,26.88 €/Kg,None,5601038002209
BOLACHA CARR'S TABLE WATER 125G,CARR'S,0.125 KG,2.29€,18.32 €/Kg,None,5000168001104
ALECRIM MARGÃO FRASCO 23G,MARGÃO,0.02 KG,1.89€,94.5 €/Kg,None,5601063052361
BOLO BOLLYCAO RECHEADO 4UN 228G,BOLLYCAO,0.228 KG,2.99€,8.73 €/Kg,1.99€,5601027000216
AÇUCAREIRO SAGRES VISTA ALEGRE PORCELANA,VISTA ALEGRE,None,10.99€,10.99 €/un,None,5601266194141
Champô Sensitive Anticaspa Natur Vital 300ml,NATUR VITAL,0.3 LT,7.49€,24.97 €/Lt,None,8414002072927
SOJA SALUTEM NACOS 400G,SALUTEM,0.4 KG,1.89€,4.73 €/Kg,None,5601557005095
PERU AVIPRONTO COTO PERNINHA KG,MF,1 KG,3.49€,3.49 €/Kg,None,2830509000007
ESFREGÃO SCOTCH BRITE METÁLICO UN,SCOTCH BRITE,UN,1.15€,1 €/un,1.00€,8887862415157
ÁGUA CARVALHELHOS SEM GÁS 4X1.5L,CARVALHELHOS,6 LT,2.38€,0.4 €/Lt,None,5601405006038
MINI TOSTA DIATOSTA GRILL PACOTÃO 350G,DIATOSTA,0.35 KG,2.39€,6.83 €/Kg,None,5601560111196
CERA BÚFALO DECAPANTE 500ML,BUFALO,0.5 LT,3.35€,5.18 €/Lt,2.59€,5601148137013
ÓLEO ALIMENTAR GIRASSOL FULA 3 ÀS EQUILIBRIO 1L,FULA,1L,3.79€,3.79 €/Lt,None,5601175109038
BALA REDEX 400ML,REDEX,0.4 LT,5.99€,12.5 €/Lt,5.00€,5601214460014
CHAMPÔ REDEX 1L,REDEX,1L,2.89€,2.89 €/Lt,None,5601214454129
CEREAIS KELLOGG'S MIEL POPS 375G,KELLOGG'S,0.375 KG,3.89€,10.37 €/Kg,None,5053827201452
SARGO KG,None,1 KG,12.99€,12.99 €/Kg,None,2850005000004
POLPA DE TOMATE GULOSO 210G,GULOSO,0.21 KG,0.85€,4.05 €/Kg,None,5601019012135
CEBOLINHO MARGÃO 2.5G,MARGÃO,0.003 KG,2.39€,796.67 €/Kg,None,5601063051746
CHOCOLATE STORCK TOFFIFEE 125G,STORCK,125G,3.85€,30.8 €/Kg,None,4014400400007
MASSA BUITONI CANNELONI 250G,DELVERDE,0.25 KG,1.79€,4.12 €/Kg,1.03€,8000270013801
ATUM EM AZEITE TENÓRIO 120(78)G,TENÓRIO,0.12 KG,2.69€,27.56 €/Kg,2.15€,5601029003000
ÓLEO ALIMENTAR FRIGI 1L,FRIGI,1L,3.39€,3.39 €/Lt,None,5601024215026
DROPS FLOCOS DE NEVE 250G,FLOCOS DE NEVE,0.25 KG,1.49€,5.96 €/Kg,None,5601008500537
ARROZ AGULHA COZINHA VELHA 1KG,COZINHA VELHA,1KG,1.34€,1.34 €/Kg,None,5601537332418
