Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Cuecas Menina 3 aos 5 Anos,HUGGIES,Emb. 16 UN,"8,99€","0,56€ / UN",
Pudim Ananás,BOCA DOCE,Emb. 0.022 KG,"0,47€","21,36€ / KG",
Lombo de Atum Descongelado,,1 Unid. = 0.25 KG (aprox.),"11,49€/kg","2,87€ / Unid.",
Lava Tudo Novo Brilho Camomila e Flor de Laranjeira,SONASOL,Emb. 1.3 LT,"2,09€","1,61€ / LT",
Pantene Frizz Control & Luminosidade Condicionador 160 ml,,Emb. 0.16 LT,"4,99€","31,19€ / LT",
Refrigerante C/ Gás S/ Açúcar Pack 6,COCA COLA,Emb. 1.98 LT,"4,30€","2,17€ / LT",
Vinho Regional Alentejo Tinto,PORTA DA RAVESSA,Garrafa 0.75 LT,"2,99€","3,99€ / LT",
Café Solúvel Descafeinado Clássico,NESCAFÉ,Emb. 10 UNID.,"1,69€","0,17€ / UNID.",
Papa Infantil Leite e Cereais,CERELAC,Emb. 0.4 KG,"1,84€","4,60€ / KG",
Azeite Clássico Pet,OLIVEIRA DA SERRA,Emb. 0.75 LT,"5,59€","7,45€ / LT",
Glade Automatic Spray Recarga Relax Zen,GLADE,Emb. 0.269 LT,"3,59€","13,35€ / LT",
Penso Incontinência Discreet Mini,AUSONIA,Emb. 20 UNID.,"3,99€","0,20€ / UNID.",
Óleo Intense 6-10 Louro Escuro,SYOSS,,"6,24€",/ Unid.,
Lixívia Tradicional,NEOBLANC,Emb. 1 LT,"0,98€","0,98€ / LT",
Chá de Tília,LIPTON,Emb. 20 SAQ.,"1,20€","0,06€ / SAQ.",
Pêra Rocha Cal. 65/70,,1 Unid. = 0.2 KG (aprox.),"1,49€/kg","0,30€ / Unid.",
Cápsulas Delta Q Café Epic 10 unidades,DELTA Q,Emb. 0.055 KG,"3,39€","61,64€ / KG",
Cillit Bang Calcário & Brilho 500ML x12,CILLIT BANG,Emb. 0.5 LT,"2,24€","4,48€ / LT",
Bolacha Maria,CUÉTARA,Emb. 0.2 KG,"0,74€","3,70€ / KG",
Detergente para a Máquina da Roupa Sensitive 3 em 1,SKIP,Emb. 1.134,"12,49€","11,01€ /",
Vinho Verde Branco,MURALHAS,Garrafa 0.75 LT,"4,59€","6,12€ / LT",
5 Cereais C/ Cereais Integrais,NESTUM,Emb. 0.25 KG,"2,19€","8,76€ / KG",
Condicionador Express para Pontas Espigadas em Spray,GLISS,Emb. 0.2 LT,"3,24€","16,20€ / LT",
Queijo da Ilha Fatiado,NOVA AÇORES,Emb. 0.15 KG,"1,69€","11,27€ / KG",
Conserva de Grão da Horta,COMPAL,Lata 0.42 KG,"0,99€","2,36€ / KG",
Maracujá Roxo,,1 Unid. = 0.1 KG (aprox.),"9,99€/kg","1,00€ / Unid.",
"Água sem Gás 6x1,5L",VITALIS,Emb. 9 LT,"2,59€","0,29€ / LT",
Vinho Regional Alentejo Branco,REGUENGOS,Garrafa 0.75 LT,"2,39€","3,19€ / LT",
Azeite Virgem Extra Grande Escolha,GALLO,Emb. 0.5 LT,"4,99€","9,98€ / LT",
Óleo Alimentar,FULA,Garrafa 1 LT,"2,69€","2,69€ / LT",
Café Torrado Moído Clássico Intensidade 9,SICAL,Emb. 16 UNID.,"3,89€","0,24€ / UNID.",
Cerveja com Álcool 6x33cl,SUPER BOCK,Emb. 1.98 LT,"4,49€","2,27€ / LT",
Anti-Calcário Spray Brilhante,AJAX,Emb. 0.5 LT,"3,99€","7,98€ / LT",
Chá Frio Lipton Limão E Camomila 15 Saq,LIPTON,,"3,28€",/ Unid.,
Sabonete Pack 4,DOVE,Emb. 0.4 KG,"4,99€","12,48€ / KG",
Massa Margaridas com Vegetais,MILANEZA,Emb. 0.5 KG,"1,99€","3,98€ / KG",
Crocante de Frango Recheio Queijo e Fiambre,IGLO,Emb. 0.204 KG,"4,99€","24,46€ / KG",
Cajus no Forno,MATUTANO,Emb. 0.17 KG,"4,99€","29,35€ / KG",
Pão Embalado Hot Dog 6 Unid.,PANRICO,Emb. 0.33 KG,"1,79€","5,42€ / KG",
Creme de Barbear Protector,NIVEA MEN,Emb. 0.1 LT,"2,49€","24,90€ / LT",
Fraldas de Incontinência Plus Tam. G,LINDOR,Emb. 14 UNID.,"16,99€","1,21€ / UNID.",
