Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Johnson's Baby Brilho Mágico Condicionador Gotas de Brilho,JOHNSON'S BABY,Emb. 0.5 LT,"5,58€","11,16€ / LT",
Iogurte Natural 12x125g,ECO+,Emb. 1.5 KG,"1,81€","1,21€ / KG",
Migas Bacalhau da Noruega,,Emb. 0.4 KG,"4,99€","12,48€ / KG",
TAPETE RETANGULAR 70CM,P'TIT AMI,Emb. 1 UNID.,"9,99€","9,99€ / UNID.",
Pensos Higiénicos Salvaslips em Bolsas,EVAX,Emb. 28 UNID.,"1,34€","0,05€ / UNID.",
Galettes de Arroz com Recheio de Chocolate e Avelã Biológicas,,Emb. 0.12 KG,"2,61€","21,75€ / KG",
Recarga Sabonete Líquido Amêndoas,MANAVA,Emb. 0.25 LT,"0,65€","2,60€ / LT",
Batatas Fritas Rodela,PÁLA-PÁLA,Emb. 0.3 KG,"2,18€","7,27€ / KG",
Conjunto Corretores de Fita,ESQUISSE,Emb. 2 UNID.,"1,99€","1,00€ / UNID.",
Croquetes Coelho e Legumes Verdes,TOUS MES AMIS,Emb. 2 KG,"4,48€","2,24€ / KG",
Sorvete de Manga,TROFIC,,"1,79€",/ Unid.,
Escova de Dentes Macia Média Junior,DENTAMYL,,"0,75€",/ Unid.,
Amaciador Cabelos Secos Elvive,ELVIVE,Emb. 0.2 LT,"3,78€","18,90€ / LT",
Marreta,FOXTER,Emb. 1 UNID.,"7,98€","7,98€ / UNID.",
Exfoliante Facial,INELL,Emb. 0.075 LT,"1,19€","15,87€ / LT",
Farinha de Trigo com Fermento,ECO+,Emb. 1 KG,"1,17€","1,17€ / KG",
Conserva de Sardinha em Tomate,PÊCHE OCÉAN,Emb. 0.12 KG,"0,99€","8,25€ / KG",
Limão Cal. 2/3,,1 Unid. = 0.16 KG (aprox.),"1,89€/kg","0,30€ / Unid.",
Gelado Feast Pack 4,OLÁ,Emb. 0.36 LT,"2,99€","8,31€ / LT",
FORMA DE QUEQUE Nº 04 - PACK 06 UNID.,ECO+,Emb. 1 UNID.,"2,99€","2,99€ / UNID.",
SALSICHAO SECO PORCO QS,ST AZAY,Emb. 0.25 KG,"3,50€","14,00€ / KG",
GEL MAQUINA LOICA CONCENTRADO LIMAO TUDO EM 1 ECOLOGICO 685ML 685ML UNI VERT,UNÍ VERT,Emb. 0.685 LT,"3,86€","5,64€ / LT",
Papel Higiénico 2 Folhas Original,SCOTTEX,Emb. 32 ROLOS,"9,98€","0,31€ / ROLOS",
Gelatina Light Sabor a Ananás,TABLIER BLANC,Emb. 0.031 KG,"0,79€","25,48€ / KG",
MINI CHAMPO DE VIAGEM TILIA E MACA 100ML,NATEIS,Emb. 0.1 LT,"1,35€","13,50€ / LT",
Vaseline,VASELINE,Emb. 0.05 LT,"1,49€","29,80€ / LT",
Vinagre de Vinho Tinto,RUSTICA,Garrafa 0.5 LT,"0,53€","1,06€ / LT",
Conserva de Filete Cavala,PITEU,Emb. 0.12 KG,"1,69€","14,08€ / KG",
Conserva de Ravioli à Bolonhesa,CÔTÉ TABLE,Lata 0.8 KG,"2,99€","3,74€ / KG",
Espumante Reserva Doce,MURGANHEIRA,Garrafa 0.75 LT,"11,78€","15,71€ / LT",
BLOCO NOTAS ADESIVO 75X75MM 2X100UN,ESQUISSE,Emb. 2 UNID.,"1,80€","0,90€ / UNID.",
"Desodorizante ""Invisible Aqua"" Roll-on",REXONA,Emb. 0.05 LT,"2,39€","47,80€ / LT",
ALIMENT BEBE: PURE DE PERA WILLIAMS BIO +4M 4x100G,BIO VILLAGE BEBE,Emb. 0.4 KG,"2,30€","5,75€ / KG",
Elixir Cool Mint,SENSODYNE,Emb. 0.5 LT,"5,98€","11,96€ / LT",
Batatas Fritas Palha,SNR,Emb. 0.3 KG,"1,67€","5,57€ / KG",
GELATINA MORANGO LIGHT CONDI 2X15G,CONDI,Emb. 0.3 KG,"1,88€","6,27€ / KG",
Cachaço com Osso Porco,,1 Unid. = 0.5 KG (aprox.),"3,39€/kg","1,70€ / Unid.",
LIMPA MAQUINA LOICA,VISIOR,Emb. 0.25 LT,"1,35€","5,40€ / LT",
Alimento Húmido P/ Gato de Atum e Camarão,TOUS MES AMIS,Emb. 0.08 KG,"0,99€","12,38€ / KG",
Vinho Regional Douro Tinto Reserva,ADEGA DE VILA REAL,Garrafa 0.75 LT,"3,28€","4,37€ / LT",
Pão Especial Campagnard Fatiado sem Glúten,CHAQUE JOUR SANS GLUTEN,Emb. 0.4 KG,"3,08€","7,70€ / KG",
DENTIFRICO SABOR MORANGO EM GEL JUNIOR 7-13 ANOS,DENTAMYL,Emb. 0.075 LT,"1,63€","21,73€ / LT",
Desodorizante Spray Rexona Men Act Prot+Invisível,REXONA,Emb. 0.2 LT,"2,54€","12,70€ / LT",
Salmão Fumado do Atlântico,RONDE DES MERS,Emb. 0.08 KG,"3,26€","40,75€ / KG",
After Shave Bálsamo Cool Sensitive,NIVEA MEN,Emb. 0.1 LT,"8,48€","84,80€ / LT",
Paté Campestre Superior 2X50g,TRADILÈGE,Emb. 0.1 Kg,"1,89€","18,90€ / Kg",
Água Mineral Natural,PENACOVA,Garrafão 5 LT,"0,98€","0,20€ / LT",
Água sem Gás,LUSO,Garrafão 7 LT,"1,99€","0,28€ / LT",
Couve Penca,,1 Unid. = 1.05 KG (aprox.),"1,99€/kg","2,09€ / Unid.",
CHORIZO FATIAS FINISSIMAS,ST AZAY,Emb. 0.1 KG,"1,99€","19,90€ / KG",
B&J Strawb CheeseCake 465ml,,Emb. 0.465 LT,"6,78€","14,58€ / LT",
Delícias do Mar Sabor a Caranguejo,,Emb. 0.4 KG,"2,37€","5,93€ / KG",
Massa Espirais Semi-Integrais Biológica,,Emb. 0.5 KG,"1,83€","3,66€ / KG",
SECADOR CABELO 2000W,ELSAY,Emb. 1 UNID.,"14,11€","14,11€ / UNID.",
Queijo de Vaca Meio Gordo D.Pedro,D. PEDRO,1 Unid. = 1.5 KG (aprox.),"12,99€/kg","19,49€ / Unid.",
Vinho Regional Península de Setúbal Tinto,JP,Garrafa 0.75 LT,"2,19€","2,92€ / LT",
DESODORIZANTE SPRAY ICE BOOST MEN 200ML,CARRÉ HOMME,Emb. 0.2 LT,"1,19€","5,95€ / LT",
