Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
SACOS LIXO ENTULHO 50L 5UN,ELEMBAL,Emb. 5 UNID.,"1,99€","0,40€ / UNID.",
Caldo de Carne,KNORR,Emb. 24 CUBOS,"2,39€","0,10€ / CUBOS",
COBERTURA TABUA DE ENGOMAR 122x45,ECO+,Emb. 1 UNID.,"2,94€","2,94€ / UNID.",
Queijo Fundido Palitos 4x140g,A VACA QUE RI,Emb. 0.14 KG,"2,25€","16,07€ / KG",
ESPINAFRE PICADO 1/2,NOTRE JARDIN,Emb. 0.4 KG,"0,99€","2,48€ / KG",
Vinho Verde Tinto,MONÇÃO,Garrafa 0.75 LT,"1,99€","2,65€ / LT",
Ambientador Gel Lavanda,,Emb. 1 UNID.,"0,79€","0,79€ / UNID.",
Néctar Light Laranja e Manga,JAFADEN,Emb. 1 LT,"0,89€","0,89€ / LT",
Ervilhas Ultracongeladas,IGLO,Emb. 0.7 KG,"3,95€","5,64€ / KG",
DESODORIZANTE AXE AERO BLACK,AXE,Emb. 0.15 LT,"3,29€","21,93€ / LT",
Queijo Flamengo Light Fatiado,MIMOSA,Emb. 0.2 KG,"2,45€","12,25€ / KG",
Café Solúvel Clássico Intenso,NESCAFÉ,Emb. 0.1 KG,"3,89€","38,90€ / KG",
Palitos de Chocolate,P'TIT DÉLI,Emb. 0.15 KG,"1,09€","7,27€ / KG",
Farinha Fina,BRANCA DE NEVE,Emb. 1 KG,"1,29€","1,29€ / KG",
Guardanapos Folha Simples Reciclados,MARQUE REPERE,Emb. 100 UNID.,"0,89€","0,01€ / UNID.",
Néctar Clássico 100% Laranja,COMPAL,Emb. 1 LT,"1,54€","1,54€ / LT",
Deo Spray 0% Sensitive 24H,SANEX,Emb. 0.15 LT,"2,69€","17,93€ / LT",
Detergente para a Máquina da Loiça Extra Power,SUN,Emb. 76 PASTILHAS,"9,99€","0,13€ / PASTILHAS",
Bebida Solúvel Cereais Cevada Chicória e Café,TOFINA,Frasco 0.2 KG,"2,24€","11,20€ / KG",
Pensos Incontinência Discreet Maxi Night,AUSONIA,Emb. 16 UNID.,"7,78€","0,49€ / UNID.",
Bebida Energética,BURN,Emb. 0.5 LT,"1,04€","2,08€ / LT",
RACLETTE REDONDA 8P,ELSAY,Emb. 1 UNID.,"27,90€","27,90€ / UNID.",
Ambientador Recarga Portátil Relax Zen Lavanda e Jasmim,GLADE,Emb. 3 UNID.,"10,78€","3,59€ / UNID.",
"Gelados Bombons de Chocolate Classic, de Amêndoas e de Branco Pack 12",MAGNUM,Emb. 0.14 LT,"3,99€","28,50€ / LT",
Coentros em Folhas,MARGÃO,Emb. 0.007 KG,"1,69€","241,43€ / KG",
Cereais Pétalas Chocolate Leite,GRAINEA,Emb. 0.3 KG,"1,49€","4,97€ / KG",
Lentilhas Verdes Secas,NOTRE JARDIN,Emb. 0.5 KG,"1,49€","2,98€ / KG",
Gressinos com Creme de Avelã 3x60g,NUSTIKAO,Emb. 0.18 KG,"2,19€","12,17€ / KG",
Cera Fixadora,AXE,Emb. 0.075 LT,"3,99€","53,20€ / LT",
Saqueta Bombons Jacquot Creme 100g,JACQUOT,Emb. 0.1 KG,"1,48€","14,80€ / KG",
Barra Cereais Chocolate Preto,GRAINEA,Emb. 0.126 KG,"1,49€","11,83€ / KG",
Doce de Framboesa,CASA MATEUS,Frasco 0.345 KG,"2,69€","7,80€ / KG",
Bolachas Maria sem Açúcar,GULLÓN,Emb. 0.4 KG,"2,34€","5,85€ / KG",
Bolo de Cacau,P'TIT DÉLI,Emb. 0.42 KG,"3,19€","7,60€ / KG",
Peito Frango Forno Lenha Fatiado,CAMPOFRIO,Emb. 0.12 KG,"2,49€","20,75€ / KG",
Refrigerante S/ Gás Maracuja,ECO+,Garrafa 2 LT,"0,79€","0,40€ / LT",
Azeitona Verde Retalhada com Ervas,RUSTICA,Emb. 0.36 KG,"1,79€","4,97€ / KG",
OVOS AR LIVRE CLASSE M,OVOS DA ALDEIA,Emb. 6 UNID.,"1,39€","0,23€ / UNID.",
Polpa de Tomate,ECO+,Frasco 0.5 KG,"0,99€","1,98€ / KG",
Conserva de Atum em Posta em Azeite,PÊCHE OCÉAN,Emb. 0.12 KG,"1,09€","9,08€ / KG",
Iogurte Natural 4x125 g,,Emb. 0.5 KG,"0,65€","1,30€ / KG",
Bife Picanha Novilho,,1 Unid. = 0.2 KG (aprox.),"11,99€/kg","2,40€ / Unid.",
Ambientador Pure Nenuco Frescura Colónia de Bebé,AIR WICK,Spray 0.25 LT,"4,19€","16,76€ / LT",
"GEL DUCHE ""MATCHA/GENGIBRE"" CONCENTRADO",NATEIS,,"1,85€",/ Unid.,
Saboneteira Branco,SILLAGE,Emb. 1 UNID.,"1,49€","1,49€ / UNID.",
Fritos Tiras de Milho,MATUTANO,Emb. 0.13 KG,"1,55€","11,92€ / KG",
BOLACHA MARIA DOURADA,P'TIT DÉLI,,"1,69€",/ Unid.,
Gomas Trio Brilho,COPAÍNS COPINES,Emb. 0.2 KG,"0,99€","4,95€ / KG",
SNACK BATATA SABOR ESPECIARIAS,TOKAPI,Emb. 0.17 KG,"1,95€","11,47€ / KG",
Queijo de Barrar com Leite Pasteurizado,LES CROISÉS,Emb. 0.15 KG,"0,89€","5,93€ / KG",
Whisky,JAMESON,Garrafa 0.7 LT,"18,95€","27,07€ / LT",
Refrigerante sem Gás Laranja,FRUTIS,Garrafa 1.5 LT,"1,15€","0,77€ / LT",
Bebida Gaseificada Aromatizada de Pêssego S/ Álcool,FESTALIE,Garrafa 0.75 LT,"2,49€","3,32€ / LT",
Champô Volume Toranja Branca e Menta,HERBAL ESSENCES,Emb. 0.4 LT,"3,99€","9,98€ / LT",
CREPES SIMPLES 16UN,TROFIC,Emb. 1 KG,"3,99€","3,99€ / KG",
BATATA FRITA PALHA FINISSIMA,POM'LISSE,,"1,39€",/ Unid.,
OIKOS CARAMELO 110G X4,OIKOS,Emb. 0.44 KG,"2,39€","5,43€ / KG",
MIOLO DE CAMARAO 80/120,PÊCHE OCÉAN,Emb. 0.25 KG,"3,49€","13,96€ / KG",
Esparguete Cozedura Rápida,TURINI,Emb. 0.5 KG,"1,09€","2,18€ / KG",
Tiras de Entrecosto Porco Embalado,,Emb. 0.5 KG (aprox.),"5,39€","10,78€ / KG",
Gelatina Light Ananás 2x15g,CONDI,Emb. 0.03 KG,"1,79€","59,67€ / KG",
Iogurte Sólido Magro Tutti-Frutti e Coco 6x120g,LONGA VIDA,,"2,09€",/ Unid.,
PREPARADO P/ ARROZ MARISCO,PÊCHE OCÉAN,Emb. 0.8 KG,"6,50€","8,13€ / KG",
PALITOS COBERTURA CHOCOLATE LEITE S/ GLUTEN,CHAQUE JOUR SANS GLUTEN,Emb. 0.125 KG,"2,55€","20,40€ / KG",
Sabão de Marselha 4x200 g,EPSIL,,"2,89€",/ Unid.,
Macedonia de 4 Legumes,,Emb. 0.4 KG,"0,69€","1,73€ / KG",
Durex Play Lubrificante de Morango,DUREX,Emb. 0.05 LT,"7,49€","149,80€ / LT",
Massa Pontinha Clássica,NACIONAL,Emb. 0.25 KG,"0,82€","3,28€ / KG",
Vinho Tinto,ECO+,Garrafão 5 LT,"5,69€","1,14€ / LT",
FRALDA INCONTINENCIA MEDIA,CHORYS,Emb. 20 UNID.,"8,99€","0,45€ / UNID.",
LOMBO PORCO CURADO FATIAS,ST AZAY,Emb. 0.1 KG,"2,55€","25,50€ / KG",
Queijo Emmental,LES CROISÉS,Emb. 0.25 KG,"1,89€","7,56€ / KG",
BETERRABA EM VINAGRE 345G,FERBAR,Emb. 0.345 KG,"1,09€","3,16€ / KG",
Sumo Refrigerado Florida,SUNNY DELIGHT,Garrafa 0.31 LT,"0,78€","2,52€ / LT",
Bloco Sanitário Floral,SONASOL WC,Emb. 0.05 KG,"1,94€","38,80€ / KG",
Sardinha em Óleo Vegetal,BOM PETISCO,Emb. 0.12 KG,"0,99€","8,25€ / KG",
Cápsulas Café Lungo Intensidade 6,DOLCE GUSTO,Emb. 16 CAPS.,"5,75€","0,36€ / CAPS.",
Massa Argolinhas Clássica,NACIONAL,Emb. 0.25 KG,"0,85€","3,40€ / KG",
Escova de Dentes Slim Soft Suave,COLGATE,Emb. 1 UNID.,"3,35€","3,35€ / UNID.",
DETERGENTE LIQUIDO CONCENTRADO ALOE VERA ECOLOGICO 40D,UNÍ VERT,,"4,99€",/ Unid.,
Azeite Clássico,OLIVEIRA DA SERRA,Garrafa 0.75 LT,"3,89€","5,19€ / LT",
ALGODAO DUO QUADRADO X50,INELL,Emb. 50 UNID.,"0,79€","0,02€ / UNID.",
PEDACINHOS ATUM COM TOMATE 3X80G,PÊCHE OCÉAN,Emb. 0.24 KG,"1,69€","7,04€ / KG",
Pensos Higiénicos Normal Alas,AUSONIA,Emb. 14 UNID.,"1,69€","0,12€ / UNID.",
Conserva de Cogumelos Laminados,NOTRE JARDIN,Lata 0.78 KG,"2,25€","2,88€ / KG",
Caramelo Líquido,TABLIER BLANC,Emb. 0.4 KG,"1,29€","3,23€ / KG",
Cenourinhas Extra Finas,NOTRE JARDIN,Emb. 0.4 KG,"1,00€","2,50€ / KG",
Compota de Frutas Maçã e Pera sem Adição de Açúcares 4x100g,DOUCEUR DU VERGER,Emb. 0.4 KG,"1,59€","3,98€ / KG",
Patê Bocadelia Recheio Atum,LA PIARA,Emb. 0.18 KG,"2,24€","12,44€ / KG",
Tarte Gelada Caramel Biscuit,VIENNETTA,Emb. 0.65 LT,"3,79€","5,83€ / LT",
CROQUETES P/ GATOS SENSIVEIS E DIFICEIS PREMIUM,PLENIMA,,"1,89€",/ Unid.,
Alimento Seco P/ Cão Adulto Frango C/ Arroz,PURINA,Emb. 14 KG,"53,90€","3,85€ / KG",
Cereais Muesli Chocolate,GRAINEA,Emb. 0.5 KG,"2,39€","4,78€ / KG",
Óleo Reconstrutor,AUSSIE,Emb. 0.1 LT,"7,49€","74,90€ / LT",
Vinho de Mesa Rosé,ECO+,Emb. 2 LT,"2,69€","1,35€ / LT",
SNACKS BOLAS DE QUEIJO,TOKAPI,Emb. 0.05 KG,"0,65€","13,00€ / KG",
PENSOS INCONTINENCIA MULHER MAXI,CHORYS,Emb. 12 UNID.,"2,59€","0,22€ / UNID.",
PILHA ALCALINA 6LR3146 TECH+,FOXTER,Emb. 1 UNID.,"1,99€","1,99€ / UNID.",
Luvas Finas Descartáveis Vinil Tam. M,,Emb. 0.45 KG,"6,89€","15,31€ / KG",
Sais de Fruta Digestivo Original,ENO DIGESTIVO,Emb. 10 UNID.,"4,29€","0,43€ / UNID.",
KINDER DELICE CACAU T10,KINDER,Emb. 0.39 KG,"3,69€","9,46€ / KG",
DETERGENTE LIQUIDO PERFECT CORES 25D,EPSIL,Emb. 25 DOSES,"2,79€","0,11€ / DOSES",
Gelatina em Pó Morango 2x85 g,TABLIER BLANC,Emb. 0.17 KG,"0,85€","5,00€ / KG",
Molho de Soja,BLUE DRAGON,Emb. 0.15 LT,"1,89€","12,60€ / LT",
Champô Anti-Caspa Cuidado Suave para Todos os Tipos de Cabelo,LINIC,Emb. 0.36 LT,"4,94€","13,72€ / LT",
Palitos de La Reine Mousse d´Or,DU BOIS DE LA ROCHE,Emb. 0.2 KG,"2,77€","13,85€ / KG",
PAPEL ALUMINIO 50M,ELEMBAL,Emb. 50 M,"4,49€","0,09€ / M",
Conserva de Salsichas 7 Unid. Extra Suculentas,NOBRE,Frasco 0.35 KG,"1,68€","4,80€ / KG",
Sopa de Espargos,KNORR,Emb. 0.07 KG,"1,49€","21,29€ / KG",
GEL FIXACAO BETAO 250ML,VITANOVE,Emb. 0.25 LT,"1,69€","6,76€ / LT",
PENSOS HIGIENICOS U. FINOS NORMAL+ C/ ABAS,DOULYS,Emb. 14 UNID.,"0,99€","0,07€ / UNID.",
Vinho Regional Alentejo Branco,TERRAS D'EL REI,Garrafa 0.75 LT,"2,19€","2,92€ / LT",
Cerveja com Álcool,SUPER BOCK,Garrafa 1 LT,"1,94€","1,94€ / LT",
Manteiga de Amendoim Cremosa sem Adição de Açúcares,CALVÉ,Emb. 0.35 KG,"3,39€","9,69€ / KG",
Doce de Laranja Biológico,,Emb. 0.375 KG,"2,15€","5,73€ / KG",
Gelado de Chocolate Branco e Amêndoas Pack 4,MAGNUM,Emb. 0.44 LT,"3,99€","9,07€ / LT",
Spray Mousse Harmonias Florais,NEOBLANC,Spray 0.7 LT,"2,59€","3,70€ / LT",
Café Solúvel Descafeinado Clássico,NESCAFÉ,Emb. 10 UNID.,"1,64€","0,16€ / UNID.",
Iogurte Bifidus Activia Cremoso Frutos Silvestres 4 Unid.,DANONE,Emb. 0.48 KG,"1,99€","4,15€ / KG",
Vinho Branco Alentejo Doc Reserva,REGUENGOS,Garrafa 0.75 LT,"4,49€","5,99€ / LT",
Pente Piquio Color,,Emb. 1 UNID.,"1,99€","1,99€ / UNID.",
"Mini Picadora 1,5L 500W",ELSAY,Emb. 1 UNID.,"27,90€","27,90€ / UNID.",
Sal Marinho Iodado,VATEL,Emb. 1 KG,"0,72€","0,72€ / KG",
Chantilly,DÉLISSE,Emb. 0.25 KG,"1,69€","6,76€ / KG",
Cerveja C/ Álcool 24x25cl,CARLSBERG,Emb. 6 LT,"12,94€","2,16€ / LT",
Recarga Sabonete Líquido Framboesa/Peonia,MANAVA,Emb. 0.25 LT,"0,65€","2,60€ / LT",
VAGEM DE BAUNILHA BOURBON BIO,,Emb. 1 UNID.,"3,99€","3,99€ / UNID.",
Leite UHT Magro,,Emb. 1 LT,"0,82€","0,82€ / LT",
Bebida de Soja Choco 3x200ML,SHOYCE,Emb. 0.6 LT,"1,59€","2,65€ / LT",
