Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Pastilha Elástica Senses Frutos Vermelhos 3x23g,TRIDENT,Emb. 0.069 KG,"2,59€","37,54€ / KG",
Pantene Protect & Style Laca 300ml,PANTENE PV,Emb. 0.3 LT,"3,74€","12,47€ / LT",
Gel Sanitário Anti-calcário,HARPIC,Emb. 0.75 LT,"1,94€","2,59€ / LT",
CREME DEPILATORIO PELE SENSIVEL 100ML 100ML SLISS,SLISS,,"1,75€",/ Unid.,
SALMAO C/ MOLHO DE AZEDAS,CÔTÉ TABLE,Emb. 0.3 KG,"2,99€","9,97€ / KG",
SPRAY LIMPA TABLIER 1 L 1L TECH9,TECH9,Emb. 1 LT,"3,19€","3,19€ / LT",
Queijo Flamengo Bola Quartos Valformoso,VALFORMOSO,Emb. 0.35 KG,"2,99€","8,54€ / KG",
GRAO DE BICO LATAMGUIA,NOTRE JARDIN,Emb. 0.425 KG,"0,75€","1,76€ / KG",
Dentífrico com Flúor Fresh Gel,COLGATE,Emb. 0.075 LT,"1,99€","26,53€ / LT",
SALSA E ALHO PICADO,RUSTICA,Emb. 0.25 KG,"2,19€","8,76€ / KG",
Pantene Superalimento Ampolas Resgate,PANTENE PV,Emb. 0.045 LT,"3,48€","77,33€ / LT",
Bolos de Iogurte 7 Unidades,P'TIT DÉLI,Emb. 0.189 KG,"1,39€","7,35€ / KG",
Gel Anti-Calcário Hygiene Elimina Bactérias,CALGON,Emb. 1.5 LT,"12,74€","8,49€ / LT",
Fraldas de Incontinência Plus Tam. G,LINDOR,Emb. 14 UNID.,"17,13€","1,22€ / UNID.",
Iogurte Líquido Morango 6 Unid.,YOCO,Emb. 0.54,"2,29€","4,24€ /",
Queijo Prato Amanteigado Pequeno,PAIVA,Emb. 0.55 KG,"4,94€","8,98€ / KG",
Cevada Especial Torrada Moída,DELTA,Emb. 0.25 KG,"0,89€","3,56€ / KG",
CORNICHON RUSTICA EF,RUSTICA,Emb. 0.37 LT,"1,40€","3,78€ / LT",
Donuts,,1 Unid. = 0.045 KG,"0,28€","6,22€ / KG",
Alimento Húmido P/ Gato Completo Geleia Carne 390g,LYCAT,Emb. 4 UNID.,"2,89€","0,72€ / UNID.",
BEBIDA SOJA C/CALCIO BIO,,Emb. 1 L,"1,29€","1,29€ / L",
Cerveja com Álcool Mini Saca Fácil 10x20cl,SUPER BOCK,Emb. 2 LT,"4,99€","2,50€ / LT",
Puré de Tomates Biológico,,Emb. 0.72 LT,"1,95€","2,71€ / LT",
Galetes Arroz Biológicas,,Emb. 0.13 KG,"0,99€","7,62€ / KG",
GAUFRES COM MEL BIO,,Emb. 0.175 KG,"1,99€","11,37€ / KG",
Conserva de Tremoço Extra,RUSTICA,Emb. 0.5 KG,"1,90€","3,80€ / KG",
Bolachas de Chocolate com Pepitas de Chocolate,ECO+,Emb. 0.2 KG,"0,97€","4,85€ / KG",
CREME DE OVOS SABOR COCO,DÉLISSE,Emb. 0.4 KG,"2,45€","6,13€ / KG",
COTOVELOS,CAÇAROLA,Emb. 0.5 KG,"1,16€","2,32€ / KG",
Açúcar de Cana em Pó Biológico,,Emb. 0.5 KG,"1,89€","3,78€ / KG",
Desodorizante Spray Jasmim Bio,BIONAÏA,Emb. 0.1 LT,"1,83€","18,30€ / LT",
SOBREMESA PISTACHE,DÉLISSE,Emb. 0.5 KG,"1,59€","3,18€ / KG",
