Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
PIRIPIRI VAGEM,RUSTICA,Emb. 0.015 KG,"0,59€","39,33€ / KG",
Néctar Essencial Frutos Vermelhos 3x110ml,COMPAL,Emb. 0.33 LT,"1,79€","5,42€ / LT",
Vinho Tinto,SANTA MARTA,Bag in Box 5 LT,"8,98€","1,80€ / LT",
Arroz Agulha,,Emb. 1 KG,"1,09€","1,09€ / KG",
Arroz Carolino,SALUDÃES,Emb. 1 KG,"1,13€","1,13€ / KG",
BACON EXTRA FATIADO,CAMPO FINO,Emb. 0.15 KG,"1,34€","8,93€ / KG",
Salame Palaciego,CAMPOFRIO,1 Unid. = 0.13 KG (aprox.),"15,99€/kg","2,08€ / Unid.",
Tostas de Trigo 36Unid.,EPI D'OR,Emb. 0.3 KG,"1,29€","4,30€ / KG",
Pão Embalado Hot Dog 6 Unid.,PANRICO,Emb. 0.33 KG,"1,78€","5,39€ / KG",
Strogonoff de Frango,,1 Unid. = 0.45 KG (aprox.),"5,99€/kg","2,70€ / Unid.",
MOLHO CARIL DE LEGUMES C/LEITE COCO,RUSTICA,Emb. 0.4 KG,"1,25€","3,13€ / KG",
Ambientador recarga cool mist zen lavanda,GLADE,Emb. 0.017 LT,"4,79€","281,76€ / LT",
SACOS LIXO ENTULHO 50L 5UN,ELEMBAL,Emb. 5 UNID.,"1,99€","0,40€ / UNID.",
Caldo de Carne,KNORR,Emb. 24 CUBOS,"2,39€","0,10€ / CUBOS",
Vinho Verde Tinto,MONÇÃO,Garrafa 0.75 LT,"1,99€","2,65€ / LT",
Néctar Light Laranja e Manga,JAFADEN,Emb. 1 LT,"0,89€","0,89€ / LT",
PENSOS HIGIENICOS U.FINOS NORMAL 16UN,DOULYS,Emb. 16 UNID.,"1,09€","0,07€ / UNID.",
Néctar Compal Vital de Ananás e Coco,COMPAL,Emb. 1 LT,"1,68€","1,68€ / LT",
QUEIJO FRESCO DE CABRA BIO,,Emb. 0.18 KG,"4,19€","23,28€ / KG",
DESODORIZANTE AXE AERO BLACK,AXE,Emb. 0.15 LT,"3,29€","21,93€ / LT",
"ARROZ MUNDO ORIENTE BASMATI , 1kg",ORIENTE,,"3,28€",/ Unid.,
Pernil de Porco,,1 Unid. = 1.1 KG (aprox.),"2,99€/kg","3,29€ / Unid.",
Palitos de Chocolate,P'TIT DÉLI,Emb. 0.15 KG,"1,09€","7,27€ / KG",
Farinha,MAIZENA,Emb. 0.4 KG,"2,28€","5,70€ / KG",
Guardanapos Folha Simples Reciclados,MARQUE REPERE,Emb. 100 UNID.,"0,89€","0,01€ / UNID.",
Alimento Seco P/ Gato Coelho Frango,PURINA FRISKIES,Emb. 2 KG,"7,98€","3,99€ / KG",
Deo Spray 0% Sensitive 24H,SANEX,Emb. 0.15 LT,"2,69€","17,93€ / LT",
Detergente para a Máquina da Loiça Extra Power,SUN,Emb. 76 PASTILHAS,"9,99€","0,13€ / PASTILHAS",
Vinho Regional Alentejo Tinto,HERDADE DOS GROUS,,"14,98€",/ Unid.,
Secretos de Porco,,1 Unid. = 0.2 KG (aprox.),"4,99€/kg","1,00€ / Unid.",
GELADO BAUNILHA E SORVETE F.VERMELHOS 900ML ESKISS,ESKISS,Emb. 0.9 LT,"2,49€","2,77€ / LT",
Vinho Verde Branco,TERRAS DE FELGUEIRAS,Garrafa 0.75 LT,"2,48€","3,31€ / LT",
Bebida Solúvel Cereais Cevada Chicória e Café,TOFINA,Frasco 0.2 KG,"2,24€","11,20€ / KG",
Tablete de Chocolate Daim,MILKA,Emb. 0.1 KG,"1,68€","16,80€ / KG",
Alho em Pó,MARGÃO,Emb. 0.055 KG,"3,18€","57,82€ / KG",
Batata Branca P/ Assar,,Emb. 1 KG,"1,19€","1,19€ / KG",
Gelatina Light Morango,ROYAL,Emb. 0.031 KG,"2,08€","67,10€ / KG",
Molho César para Salada,HELLMANN'S,Emb. 0.21 LT,"2,58€","12,29€ / LT",
Toucinho Fumado,DAMATTA,Emb. 0.2 KG,"3,68€","18,40€ / KG",
Ambientador Recarga Portátil Relax Zen Lavanda e Jasmim,GLADE,Emb. 3 UNID.,"10,78€","3,59€ / UNID.",
Pão Saloio,,1 Unid. = 0.4 KG,"0,99€","2,48€ / KG",
Cereais Pétalas Chocolate Leite,GRAINEA,Emb. 0.3 KG,"1,49€","4,97€ / KG",
DESODORIZANTE STICK MARINE MEN 50ML,CARRÉ HOMME,Emb. 0.05 LT,"1,85€","37,00€ / LT",
Gressinos com Creme de Avelã 3x60g,NUSTIKAO,Emb. 0.18 KG,"2,19€","12,17€ / KG",
Cera Fixadora,AXE,Emb. 0.075 LT,"3,99€","53,20€ / LT",
Barra Cereais Chocolate Preto,GRAINEA,Emb. 0.126 KG,"1,49€","11,83€ / KG",
