Nome,Preço,Preço/Kg
Bacalhau Graúdo Inteiro Salgado Seco (Entre 2 a 3 kg e enviado com Corte para Lombos),"41,97 €","13,99 €/Kg"
Bacalhau Crescido Inteiro Salgado Seco (Entre 1 a 2 kg e enviado com Corte para Lombos),"23,98 €","11,99 €/Kg"
DIA (A) MAR À VISTA Migas de Bacalhau do Pacífico 400 g,"5,51 €","13,77 €/Kg"
DIA SABOR CHARCUTEIRO Paio York 200 g,"1,85 €","9,25 €/Kg"
DIA SABOR CHARCUTEIRO Fiambre Da Perna Extra 200 g,"1,79 €","8,95 €/Kg"
PRISCA Linguiça Extra Escolha Económica 150 g,"1,69 €","11,27 €/Kg"
PRISCA Paio Do Lombo Em Fatias Escolha Económica 90 g,"1,65 €","18,33 €/Kg"
PRISCA Farinheira Extra Escolha Económica 150 g,"1,69 €","11,27 €/Kg"
PRISCA Chouriça Extra Escolha Económica 150 g,"1,99 €","13,27 €/Kg"
PRISCA Chouriço Mouro Extra Escolha Económica 150 g,"1,69 €","11,27 €/Kg"
PRISCA Barriga Fumada Em Fatias Escolha Económica 90 g,"1,65 €","18,33 €/Kg"
IZIDORO Salsicha Brasileira Embalado 600 g,"3,39 €","5,65 €/Kg"
Limão (1 un = 200 g aprox),"0,48 €","2,39 €/Kg"
Kiwi (1 un = 125 g aprox),"0,59 €","4,69 €/Kg"
Maçã Gala (1 un = 215 g aprox),"0,49 €","2,29 €/Kg"
Mandarina (1 un = 150 g aprox),"0,45 €","2,99 €/Kg"
Laranja (1 un = 320 g aprox),"0,57 €","1,79 €/Kg"
Maçã Golden (1 un = 205 g aprox),"0,37 €","1,79 €/Kg"
Banana Importada (1 un = 205 g aprox),"0,22 €","1,09 €/Kg"
DIA SABOR CHARCUTEIRO Bacon Fatias 200 g,"2,09 €","10,45 €/Kg"
CORTE DO DIA Frango Partido Embalado (1 un = 615 g aprox),"2,06 €","3,35 €/Kg"
DIA AL PUNTO Lasanha À Bolonhesa 1 kg,"4,15 €","4,15 €/Kg"
DIA SABOR CHARCUTEIRO Chouriço de Carne do Fundão 250 g,"2,99 €","11,96 €/Kg"
CORTE DO DIA Bifanas de Porco Embaladas (1 un = 470 g aprox),"3,57 €","7,59 €/Kg"
CORTE DO DIA Bifes Peru Embalado (1 un = 615 g aprox),"5,28 €","8,59 €/Kg"
DIA Amendoins Com Sal 250 g,"1,05 €","4,20 €/Kg"
DIA Salsichas Baviera 300 g,"2,19 €","7,30 €/Kg"
Pepino (1 un = 345 g aprox),"0,65 €","1,89 €/Kg"
Alface Frisada (1 un = 415 g aprox),"1,12 €","2,69 €/Kg"
Uva Branca Sem Grainha Embalada 500 g,"4,39 €","8,78 €/Kg"
Uva Preta Sem Grainha Embalada 500 g,"3,49 €","6,98 €/Kg"
DIA AL PUNTO Pizza Fresca Queijo E Fiambre 400 g,"2,69 €","6,73 €/Kg"
DIA AL PUNTO Pizza Fresca Atum E Bacon 400 g,"2,69 €","6,73 €/Kg"
Pimento Verde (1 un = 285 g aprox),"0,77 €","2,69 €/Kg"
Feijão Verde,"4,49 €","4,49 €/Kg"
Pêra Rocha (1 un = 140 g aprox),"0,24 €","1,59 €/Kg"
HORTA DO DIA Melão Verde (1 un = 3285 g aprox),"4,24 €","1,29 €/Kg"
HORTA DO DIA Batata Para Cozer Embalada 3 kg,"3,38 €","1,13 €/Kg"
HORTA DO DIA Cenouras Embaladas 1 kg,"0,99 €","0,99 €/Kg"
HORTA DO DIA Alho Embalado 250 g,"1,49 €","5,96 €/Kg"
HORTA DO DIA Cebolas Embaladas 1 kg,"1,19 €","1,19 €/Kg"
Couve Lombarda (1 un = 1420 g aprox),"2,68 €","1,89 €/Kg"
Abacaxi (1 un = 2050 g aprox),"2,85 €","1,39 €/Kg"
Banana da Madeira (1 un = 155 g aprox),"0,46 €","2,99 €/Kg"
Abóbora Cortada Embalada (1 un = 540 g aprox),"1,07 €","1,99 €/Kg"
DIA SABOR CHARCUTEIRO Fiambre da Pá 2x125 g,"1,99 €","7,96 €/Kg"
Brócolo (1 un = 485 g aprox),"1,94 €","3,99 €/Kg"
DIA SABOR CHARCUTEIRO Tiras de Bacon 2x100 g,"2,79 €","13,95 €/Kg"
Meloa Galia (1 un = 1150 g aprox),"3,44 €","2,99 €/Kg"
DIA AL PUNTO Pizza Fresca de 4 Queijos 400 g,"2,69 €","6,90 €/Kg"
CORTE DO DIA Frango Inteiro Sem Miúdos Embalado (1 un = 1565 g aprox),"4,52 €","2,89 €/Kg"
CORTE DO DIA Coxas de Frango Embaladas (1 un = 710 g aprox),"4,25 €","5,98 €/Kg"
CORTE DO DIA Bifes de Frango Embalados (1 un = 640 g aprox),"4,92 €","7,69 €/Kg"
CORTE DO DIA Asas Frango Embaladas (1 un = 525 g aprox),"1,60 €","2,99 €/Kg"
Batata Doce (1 un = 510 g aprox),"0,68 €","1,29 €/Kg"
HORTA DO DIA Agrião 150 g,"1,49 €","9,93 €/Kg"
HORTA DO DIA Caldo Verde 250 g,"0,89 €","3,56 €/Kg"
HORTA DO DIA Salada Ibéria Embalada 150 g,"1,29 €","8,60 €/Kg"
Couve Flor (1 un = 1275 g aprox),"3,30 €","2,59 €/Kg"
CORTE DO DIA Peito de Frango Embalado (1 un = 750 g aprox),"5,62 €","7,49 €/Kg"
Nabo Sem Rama (1 un = 190 g aprox),"0,57 €","2,99 €/Kg"
CORTE DO DIA Costeletas do Cachaço Embaladas (1 un = 680 g aprox),"4,69 €","6,89 €/Kg"
CORTE DO DIA Costeletas do Lombo Embaladas (1 un = 675 g aprox),"4,65 €","6,89 €/Kg"
Pimento Vermelho (1 un = 295 g aprox),"1,03 €","3,49 €/Kg"
