Nome,Preço,Preço Antigo,PpU,PpU Antigo
TUC Bolachas Crackers 250 g,"2,49 €",,"9,96 €/Kg",
CHIPS AHOY! Bolachas Com Pepitas de Chocolate XL 184 g,"2,59 €",,"14,08 €/Kg",
ARTIACH Bolacha Chiquilin Chiquichocs  140 g,"2,09 €",,"14,93 €/Kg",
LIPTON Chá Infusão de Cidreira e Mel Pyramid  20 Un,"2,99 €",,"0,15 €/ud",
FERBAR Marmelada 400 g,"1,99 €",,"4,98 €/Kg",
DIA Cápsulas de Café Descafeinado Intensidade 8 10 Un,"1,73 €","1,99 €","0,17 €/ud","0,20 €/ud"
LION Cereais de Chocolate e Caramelo Nestlé 400 g,"2,52 €",,"6,30 €/Kg",
MALTESERS Chocolate 37 g,"1,05 €",,"28,38 €/Kg",
CUÉTARA Bolacha Tosta Rica Chocoguay 168 g,"2,09 €",,"12,44 €/Kg",
NICOLA Cápsulas De Café Bocage (Intensidade 7) 12 un,"3,14 €",,"0,26 €/ud",
NICOLA Cápsulas De Café Selecto (Intensidade 6) 12 un,"3,14 €",,"0,26 €/ud",
DELTA Q Cápsulas de Café Qharacter 10 Un,"3,99 €",,"0,40 €/ud",
DELTA Q Cápsulas de Café deQafeinatus 10 Un,"3,99 €",,"0,40 €/ud",
NESCAFÉ DOLCE GUSTO Café Expresso Buondi (Intensidade 8) 30 Un,"10,49 €",,"0,35 €/ud",
MENTOS Pastilhas Gum Pochet Menta Fresca 30 g,"1,60 €",,"53,33 €/Kg",
"CHICLETS Pastilhas Elásticas Spearmint 16,5 g","0,99 €",,"0,99 €/ud",
DELTA Cevada Especial  250 g,"0,89 €",,"3,56 €/Kg",
LIPTON Chá Tília Pyramid 20 Un,"1,85 €",,"0,09 €/ud",
TETLEY Chá Preto 10 Un,"0,69 €","0,94 €","0,07 €/ud","0,09 €/ud"
TETLEY Infusão de Cidreira 10 un,"0,84 €","1,14 €","0,08 €/ud","0,11 €/ud"
"KITKAT Snack de Chocolate de Leite Nestlé 41,5 g","0,99 €",,"23,86 €/Kg",
MARS Snack de Chocolate E Caramelo 51 g,"1,05 €",,"20,59 €/Kg",
GRAN PAVESI Bolachas Crackers Sem Sal 560 g,"3,99 €",,"7,13 €/Kg",
BOCA DOCE Pudim Morango 22 g,"0,59 €",,"26,82 €/Kg",
CRUNCH Chocolate Nestlé 40 g,"0,99 €",,"24,75 €/Kg",
CUÉTARA Bolacha Tosta Rica Oceanix de Chocolate com Pepitas de Chocolate 160 g,"2,09 €",,"13,06 €/Kg",
TRIDENT Pastilhas Elásticas 60 Minutos Peppermint 20 g,"0,95 €",,"47,50 €/Kg",
TRIDENT Pastilhas Elásticas Spearmint 60M 20 g,"0,95 €",,"47,50 €/Kg",
CUÉTARA Bolachas Ricanela 500 g,"1,99 €","2,69 €","3,98 €/Kg","5,38 €/Kg"
DIA VITAL Mini Tortitas de Milho E Arroz Sabor a Queijo 75 g,"1,29 €",,"17,20 €/Kg",
"DIA VITAL Tortitas de Milho com Chocolate 90,4 g","1,53 €",,"16,92 €/Kg",
BOCA DOCE Pudim Caramelo  22 g,"0,59 €",,"26,82 €/Kg",
HARIBO Bolsa de Gomas Favoritos 90 g,"1,09 €",,"12,11 €/Kg",
NESCAFÉ DOLCE GUSTO Café Ristretto Barista (Intensidade 9) 16 Un,"5,99 €",,"0,37 €/ud",
LION Snack de Chocolate de Leite 3x42 g,"2,19 €",,"17,38 €/Kg",
QUINTA DE JUGAIS Doce de Abóbora com Noz 280 g,"2,74 €",,"9,79 €/Kg",
DIA GALLETECA Bolacha de Cacau 750 g,"2,69 €",,"3,59 €/Kg",
MILKA Chocolate Choco Jelly 250 g,"3,19 €","3,99 €","12,76 €/Kg","15,96 €/Kg"
CEM PORCENTO Bolachas Marinheiras Sem Sal 200 g,"2,89 €",,"14,45 €/Kg",
MILKA Snack Chocolate Zack Oreo 37 g,"0,99 €",,"26,76 €/Kg",
DIA Infusão Tília 25 Un,"0,85 €",,"0,85 €/ud",
DIA Chá Verde 25 Un,"1,05 €",,"1,05 €/ud",
TWIX Mini Snacks Chocolate de Caramelo e Bolacha 170 g,"2,14 €","2,89 €","12,59 €/Kg","17,00 €/Kg"
MILKA Chocolate Bubbly Caramelo 250 g,"3,19 €","3,99 €","12,76 €/Kg","15,96 €/Kg"
TRIUNFO Bolachas de Aveia 190 g,"1,49 €",,"7,84 €/Kg",
MALTESERS Drageias de Chocolate 85 g,"2,19 €",,"25,76 €/Kg",
CONDI Gelatina Light Mirtilo  2x15 g,"1,89 €",,"63,00 €/Kg",
CONDI Gelatina Light Frutos Vermelhos  2x15 g,"1,89 €",,"63,00 €/Kg",
NACIONAL PowerZ 300 g,"2,65 €",,"8,83 €/Kg",
CHUPA CHUPS Chupa Mini Bolsa 120 g,"2,30 €",,"19,17 €/Kg",
KINDER BUENO Snack Chocolate Mini 108 g,"2,49 €",,"23,06 €/Kg",
SPECIAL K Cereais de Chocolate 375 g,"2,59 €",,"6,91 €/Kg",
CARRS Bolachas Table Water 125 g,"2,29 €",,"18,32 €/Kg",
BELVITA Bolacha Frutos Silvestres 300 g,"2,49 €",,"8,30 €/Kg",
HALLS Rebuçados Morango Sem Açúcar 32 g,"0,89 €",,"27,81 €/Kg",
REGINA Sombrinhas de Chocolate 15 g,"0,69 €",,"46,00 €/Kg",
PINTAROLAS Tubo Drageias Chocolate 22 g,"0,64 €",,"29,09 €/Kg",
NESTLÉ Chocolate Culinária 44% Cacau 200 g,"1,89 €",,"9,45 €/Kg",
DIA Cápsulas de Café Descafeinado Intensidade 3 16 Un,"3,79 €",,"0,24 €/ud",
MILKA Chocolate com Oreo 300 g,"3,19 €",,"10,63 €/Kg",
"TRIDENT Pastilhas Elásticas Melão Melancia 14,5 g","0,89 €",,"61,38 €/Kg",
DELTA Cevada Solúvel Seara 200 g,"1,74 €",,"8,70 €/Kg",
DELTA Mistura Solúvel Cereais + Café 200 g,"2,84 €",,"14,20 €/Kg",
GULLÓN Bolacha Recheada De Avelã Vitalday  220 g,"2,59 €",,"11,77 €/Kg",
NICOLA Cápsulas de Café Rossio N 12 un,"3,14 €",,"0,26 €/ud",
GULLÓN Bolachas de Frutos Vermelhos Vitalday 240 g,"2,59 €",,"10,79 €/Kg",
GULLÓN Bolachas Aveia e Pepitas de Chocolate Vitalday 240 g,"2,59 €",,"10,79 €/Kg",
GULLÓN Bolachas Crocantes Originais Vitalday 265 g,"2,29 €",,"8,64 €/Kg",
ARTIACH Bolacha Dinosaurus Dinoovos 140 g,"2,09 €",,"14,93 €/Kg",
DIA CAFETARIA Cápsulas de Café Intenso Intensidade 9 10 Un,"1,85 €",,"0,19 €/ud",
DIA CAFETARIA Cápsulas de Café Descafeinado Intensidade 1 10 Un,"1,85 €",,"0,19 €/ud",
MENTOS Drageias Fruta Tripack 120 g,"1,99 €",,"16,58 €/Kg",
CEM PORCENTO Biscoitos Integrais de Alfarroba  250 g,"2,69 €",,"10,76 €/Kg",
CEM PORCENTO Bolachas Marinheiras Naturais 200 g,"2,89 €",,"14,45 €/Kg",
BELVITA Bolachas Soft Bakes Frutos Silvestres  250 g,"2,99 €",,"11,96 €/Kg",
TRIUNFO GO Bolachas Digestivas de Canela 171 g,"1,69 €",,"9,88 €/Kg",
OREO Bolachas Golden 154 g,"1,49 €",,"9,68 €/Kg",
CUÉTARA Bolachas Crackers Integral 200 g,"1,29 €",,"6,45 €/Kg",
DELTA Q Cápsulas De Café Qualidus XL 40 Un,"12,99 €",,"0,32 €/ud",
HALLS Rebuçados Vitamina C Melancia 32 g,"0,89 €",,"27,81 €/Kg",
LIPTON Chá Pyramid Limão & Gengibre 20 Un,"2,99 €",,"0,15 €/ud",
TOBLERONE Chocolate Negro 100 g,"2,49 €",,"24,90 €/Kg",
DIA GALLETECA Bolachas Cobertas com Chocolate de Leite 150 g,"1,25 €",,"8,33 €/Kg",
DELTA Café Moagem Universal Portugal 250 g,"3,29 €",,"13,16 €/Kg",
TRIUNFO GO Bolachas Gestivas de Aveia 171 g,"1,69 €",,"9,88 €/Kg",
NESTLÉ Tablete de Chocolate de Leite 90 g,"1,49 €",,"16,56 €/Kg",
ROYAL Gelatina de Limão Light 10Kcal 31 g,"2,09 €",,"67,42 €/Kg",
DIA DELICIOUS Doce de Frutos Vermelhos 320 g,"2,45 €",,"7,66 €/Kg",
"TRIDENT Pastilhas Bottle Spearmint 82,6 g","2,99 €",,"36,20 €/Kg",
"TRIDENT Pastilhas Shpere Morango 82,6 g","2,99 €",,"36,20 €/Kg",
NACIONAL  Shortcake Chocoalte 180 g,"1,75 €",,"9,72 €/Kg",
REGINA Chocolate Leite com Amêndoas 24 g,"0,69 €",,"28,75 €/Kg",
REGINA Tablete Chocolate de Leite Aroma Morango 20 g,"0,59 €",,"29,50 €/Kg",
REGINA Tablete Chocolate de Leite Aroma Ananás 20 g,"0,59 €",,"29,50 €/Kg",
