NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
VEET Creme Depilatório For Men Peles Sensíveis 200 ml,VEET,,"6,99 €","34,95 €/l",,,
NIVEA MEN Mini Desodorizante Invisible Black & White 35 ml,NIVEA MEN,,"2,19 €","62,57 €/l",,,
GARNIER Pure Gel 3 em 1 150 ml,GARNIER,,"7,99 €","53,27 €/l",,,
COLGATE Elixir Plax Menta 500 ml,COLGATE,,"4,86 €","9,72 €/l",,,
LACTOVIT Loção Corporal Lactourea 400 ml,LACTOVIT,,"7,39 €","18,47 €/l",,,
COLHOGAR Papel Higiénico Compacto Ultra Suave XXL (12R=24R) 12 un,COLHOGAR XXL,,"6,27 €","0,52 €/ud",,,
L'ORÉAL Creme de Rosto Men Expert Vita Lift 5 50 ml,OR AL,,"13,99 €","279,80 €/l",,,
NIVEA Creme Vital Dia Extra Nutritiva 50 ml,NIVEA,,"9,99 €","199,80 €/l",,,
NIVEA MEN After Shave Loção Sensitive 100 ml,NIVEA MEN,,"8,99 €","89,90 €/l",,,
GLISS Máscara Boião Ultimate Repair 200 ml,GLISS,,"3,99 €","19,95 €/l","8,23 €","41,15 €/l",
AQUAFRESH Pasta de Dentes de Leite 50 ml,AQUAFRESH,,"2,89 €","57,80 €/l",,,
POLIDENT Pastilhas Branqueadoras 30 Un,POLIDENT,,"3,99 €","0,13 €/ud",,,
PALMOLIVE Sabão de Glicerina Natural 90 g,PALMOLIVE,,"0,99 €","11,00 €/Kg",,,
TENA Lady Pensos Incontinência Mulher Super 30 un,TENA,,"12,74 €","0,42 €/ud",,,
FRUCTIS Champô Anticaspa 250 ml,FRUCTIS,,"3,99 €","15,96 €/l",,,
FRUCTIS Champô Hidra-Caracóis 250 ml,FRUCTIS,,"3,99 €","15,96 €/l",,,
FRUCTIS Condicionador Força e Brilho 200 ml,FRUCTIS,,"3,99 €","19,95 €/l",,,
ELNETT Laca de Cabelo Satin Cabelos Pintados 300 ml,ELNETT,,"5,99 €","19,97 €/l",,,
CORINE DE FARME Toalhitas Íntimas Suave E Protetor Uso Diário 10 Un,CORINE DE FARME,,"2,19 €","0,22 €/ud",,,
LINIC MEN Champô Anti-Queda 360 ml,LINIC MEN,,"6,59 €","18,31 €/l",,,
LINIC Champô Controlo Oleosidade 360 ml,LINIC,,"6,59 €","18,31 €/l",,,
DIADERMINE Creme Anti Rugas Expert 3D Dia 50 ml,DIADERMINE,,"8,79 €","175,80 €/l",,,
GLISS Champô Ultimate Color Para Cabelos Pintados  250 ml,GLISS,,"2,49 €","9,96 €/l","5,14 €","20,56 €/l",
GLISS Spray Condicionador para Cabelo Total Repair 200 ml,GLISS,,"3,79 €","18,95 €/l","7,82 €","39,10 €/l",
GLISS Amaciador Protecção Cor  200 ml,GLISS,,"2,49 €","12,45 €/l","5,14 €","25,70 €/l",
GLISS Condicionador Oil Nutritive 200 ml,GLISS,,"2,49 €","12,45 €/l","5,14 €","25,70 €/l",
GLISS Spray Condicionador Oil Nutritive 19 200 ml,GLISS,,"3,79 €","18,95 €/l","7,82 €","39,10 €/l",
SYOSS Champô Repair 440 ml,SYOSS,,"3,49 €","7,93 €/l","6,99 €","15,89 €/l",
