NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA Pizza Margherita 3x300 g,,,"4,11 €","4,57 €/Kg",,,
DIA Pizza 4 Estações 350 g 350 g,,,"3,18 €","9,09 €/Kg",,,
DIA MARI MARINHEIRA Lula Limpa 400 g,,,"6,19 €","15,48 €/Kg",,,
DIA BATATAS UNIDAS Batata Pré-Frita Palitos Para Forno 1 kg,,,"2,05 €","2,05 €/Kg",,,
IGLO Lombos de Pescada 400 g,,,"7,49 €","18,73 €/Kg",,,
PESCANOVA Mimos de Pescada 360 g,,,"4,99 €","13,86 €/Kg",,,
DIA Pizza Pepperoni 350 g,,,"3,18 €","9,09 €/Kg",,,
DIA É TÃO FISH! Medalhões de Pescada 400 g,,,"3,80 €","9,50 €/Kg",,,
DR. OETKER Ristorante Mozzarella 335 g,,,"4,99 €","14,90 €/Kg",,,
BONDUELLE Grelos Em Folhas 400 g,,,"1,57 €","3,93 €/Kg",,,
DIA AL PUNTO Salteado de Cogumelos 450 g,,,"2,19 €","4,87 €/Kg",,,
DIA (A) MAR À VISTA Posta Tradicional Bacalhau Demolhado Ultracongelado 800 g,,,"10,29 €","12,86 €/Kg",,,
BRASMAR Preparado Marisco 450 g,,,"4,29 €","9,53 €/Kg",,,
BRASMAR Ameijoa Vietnamita Com Casca,,,"2,54 €","2,54 €/Kg",,,
DIA (A) MAR À VISTA Lombos de Bacalhau Demolhado Ultracongelado 800 g,,,"13,09 €","16,36 €/Kg",,,
PESCANOVA Bacalhau Desfiado Fresco 400 g,,,"7,79 €","19,47 €/Kg",,,
PESCANOVA Barrinhas de Pescada 15 Un,,,"3,99 €","8,87 €/Kg",,,
PESCANOVA Posta de Pescada do Cabo Nº3 600 g,,,"8,49 €","14,15 €/Kg",,,
IGLO Barrinhas de Salmão Douradinhos 280 g,,,"7,14 €","25,50 €/Kg",,,
BUITONI Mini Pizza Piccolinis Salsicha 270 g,,,"3,19 €","11,81 €/Kg",,,
IGLO Tranches de Salmão Selvagem do Pacífico 250 g,,,"9,99 €","39,96 €/Kg",,,
DIA VEGECAMPO Favas 1 kg,,,"1,79 €","1,79 €/Kg",,,
DIA AL PUNTO Nuggets de Frango 360 g,,,"3,29 €","9,14 €/Kg",,,
