NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
MILANEZA  Linguine 500 g,,,"1,99 €","3,98 €/Kg",,,
DIA Molho Ingles 196 ml,,,"1,29 €","6,58 €/l",,,
OLD EL PASO Mini Molho Mexicano 190 g,,,"3,05 €","16,05 €/Kg",,,
MAGGI Suculento no Forno Frango Campestre com Alho e Cebola 30 g,,,"0,99 €","33,00 €/Kg",,,
DIA DELICIOUS Massa Tagliatelle Com Ovo 500 g,,,"1,89 €","3,78 €/Kg",,,
OLIVEIRA DA SERRA Azeite 750 ml,,,"3,99 €","5,32 €/l",,,
MAGGI Suculento no Forno Entrecosto com Alho e Pimentão Doce 30 g,,,"0,99 €","33,00 €/Kg",,,
MARGÃO Cominhos Moídos 50 g,,,"1,69 €","33,80 €/Kg",,,
DIA SNACK MANIAC! Pipocas Sabor a Manteiga Para Microondas 3x90 g,,,"1,49 €","5,52 €/Kg",,,
KNORR Sopa de Cebola Receita Económica 50 g,,,"1,46 €","29,20 €/Kg",,,
KNORR Canja de Galinha Receita Económica 61 g,,,"1,46 €","23,93 €/Kg",,,
MAÇARICO Azeitonas Verdes com Caroço 300 g,,,"2,29 €","7,63 €/Kg",,,
MAÇARICO Azeitonas Pretas Galegas 300 g,,,"2,29 €","7,63 €/Kg",,,
MAÇARICO Azeitonas Pretas com Caroço 300 g,,,"1,99 €","6,63 €/Kg",,,
GALLO Vinagre Balsâmico de Modena 250 ml,,,"2,29 €","9,16 €/l",,,
CIGALA Arroz Pronto a Comer Basmati 2x125 g,,,"1,74 €","6,96 €/Kg",,,
CEM PORCENTO Proteína Vegetal Seitan 300 g,,,"2,79 €","9,30 €/Kg",,,
DIA Erva Doce 30 g,,,"0,95 €","31,67 €/Kg",,,
DIA Coentros Moídos  30 g,,,"0,59 €","19,67 €/Kg",,,
DIA Cravinho Em Grão 30 g,,,"1,55 €","51,67 €/Kg",,,
DIA Mistura Ervas Aromáticas Frango 34 g,,,"0,85 €","25,00 €/Kg",,,
DIA Mistura de Alho E Pimentão Para Carne Porco  30 g,,,"0,75 €","25,00 €/Kg",,,
DIA Mistura Alho Para Frango 36 g,,,"0,85 €","23,61 €/Kg",,,
MATUTANO Amendoins com Sal e Mel 150 g,,,"2,59 €","17,27 €/Kg",,,
KNORR Sopa de Cogumelos Gourmet 61 g,,,"2,57 €","42,13 €/Kg",,,
CALVÉ Ketchup Top Down 275 g,,,"2,14 €","7,78 €/Kg",,,
GULOSO Polpa de Tomate 500 ml,,,"1,16 €","2,32 €/l",,,
TUC Bolacha Aperitivo Cream&Onion 100 g,,,"1,19 €","11,90 €/Kg",,,
CALVÉ Ketchup Picante 275 g,,,"2,89 €","10,51 €/Kg",,,
OLIVEIRA DA SERRA Azeite Virgem 750 ml,,,"4,19 €","5,59 €/l",,,
LAY'S Batata Frita Pacote Económico 282 g,,,"2,75 €","9,75 €/Kg",,,
RUFFLES Batata Frita com Sal 282 g,,,"2,75 €","9,75 €/Kg",,,
IZIDORO Salsichas de Aves em Frasco 5 Un,,,"3,69 €","15,06 €/Kg",,,
MAÇARICO Azeitonas Mistas Britadas 300 g,,,"2,09 €","6,97 €/Kg",,,
DIA DELICIOUS Molho Piri-Piri Extra Forte 50 ml,,,"1,74 €","34,80 €/l",,,
PALADIN Vinagre Balsâmico 250 ml,,,"2,09 €","8,36 €/l",,,
KNORR Tempero Bolonhesa 123 38 g,,,"1,54 €","40,53 €/Kg",,,
CEIFEIRA Sêmola de Milho 500 g,,,"0,78 €","1,56 €/Kg",,,
GULOSO Molho de Francesinha 500 g,,,"4,19 €","8,38 €/Kg",,,
TABASCO Molho de Tabasco 60 ml,,,"2,95 €","49,17 €/l",,,
PALADIN Molho de Iogurte 250 ml,,,"2,45 €","9,80 €/l",,,
PALADIN Molho de Coentros E Alho 250 ml,,,"2,45 €","9,80 €/l",,,
PALADIN Molho Oregãos e Azeitonas 250 ml,,,"2,45 €","9,80 €/l",,,
PALADIN Molho Para Batatas Fritas 275 ml,,,"2,36 €","8,58 €/l",,,
PALADIN Molho Mil Ilhas 250 ml,,,"2,45 €","9,80 €/l",,,
DIA Massa Noodles Camarão 85 g,,,"0,69 €","8,12 €/Kg",,,
OLIVEIRA DA SERRA Azeite Virgem Extra Essencial 750 ml,,,"6,98 €","9,31 €/l",,,
PENINSULAR Tempero de Sumo Limão 200 ml,,,"0,79 €","3,95 €/l",,,
PALADIN Molho Piri-Piri Extra Forte Sacana 75 ml,,,"1,79 €","23,87 €/l",,,
KNORR Molho Cervejeira  8 un,,,"2,30 €","0,29 €/ud",,,
FRUTORRA Amendoins com Casca 1 kg,,,"4,99 €","4,99 €/Kg",,,
DOM DUARTE Molho Francesinha Frasco 500 g,,,"2,98 €","5,96 €/Kg",,,
MILANEZA Esparguete sem Glúten 500 g,,,"2,69 €","5,38 €/Kg",,,
MILANEZA Macarrão Integral com aveia 500 g,,,"1,89 €","3,78 €/Kg",,,
PESCADOR Sardinha em Óleo Picante 56 g,,,"0,74 €","13,21 €/Kg",,,
PESCADOR Sardinhas em Óleo 56 g,,,"0,74 €","13,21 €/Kg",,,
PESCADOR Sardinhas Em Tomate 56 g,,,"0,74 €","13,21 €/Kg",,,
PESCADOR Sardinha Portuguesas em Tomate Picante 56 g,,,"0,74 €","13,21 €/Kg",,,
FLORETTE Cebola Frita Embalada 70 g,,,"1,49 €","21,29 €/Kg",,,
FRUTORRA Cocktail de Frutos Secos 250 g,,,"2,19 €","8,76 €/Kg",,,
RUFFLES Batata Frita Sabor Presunto 80 g,,,"0,99 €","12,38 €/Kg",,,
MARGÃO Alecrim Frasco 23 g,,,"1,89 €","82,17 €/Kg",,,
MARGÃO Manjericão Em Frasco 11 g,,,"2,09 €","190,00 €/Kg",,,
CEM PORCENTO Hambúrguer de Tofu E Algas 150 g,,,"3,49 €","23,27 €/Kg",,,
LA PIARA Paté de Sardinha Solo Natural 75 g,,,"1,69 €","22,53 €/Kg",,,
KNORR Massa Pasta Pot Carbonara 62 g,,,"2,15 €","34,68 €/Kg",,,
KNORR Caldo de Carne 24 Un,,,"2,40 €","10,00 €/Kg",,,
MILANEZA Lírios 500 g,,,"0,98 €","1,96 €/Kg",,,
DIA SNACK MANIAC! Pipocas Doces Para Microondas 3x90 g,,,"1,25 €","4,17 €/Kg",,,
GALLO Vinagre Balsâmico Branco 250 ml,,,"2,29 €","9,16 €/l",,,
GULOSO Tomate Em Pedaços 390 g,,,"1,75 €","4,49 €/Kg",,,
PALADIN Ketchup À Portuguesa Top Down 450 g,,,"2,19 €","4,87 €/Kg",,,
PALADIN Molho de Pitta 250 ml,,,"2,45 €","9,80 €/l",,,
IZIDORO Salsichas de Aves Hot Dog Em Frasco 4 un,,,"3,69 €","16,04 €/Kg",,,
MILANEZA Espirais Wok 500 g,,,"1,99 €","3,98 €/Kg",,,
DIA AL DIANTE Massa Macarronete Riscado 500 g,,,"0,99 €","1,98 €/Kg",,,
MARGÃO Coentros Folhas 7 g,,,"1,89 €","270,00 €/Kg",,,
MARGÃO Segredos Alho & Ervas Aromáticas 40 g,,,"2,89 €","72,25 €/Kg",,,
NOBRE Extra Suculentas Salsichas 7 unidades Frasco 350 g,,,"2,25 €","6,43 €/Kg",,,
KNORR Massa Pasta Pot Bolonhesa 68 g,,,"2,15 €","31,62 €/Kg",,,
GULOSO Tomate Pelado 390 g,,,"1,09 €","2,79 €/Kg",,,
BONDUELLE Milho Doce 3x70 g,,,"2,49 €","11,07 €/Kg",,,
MATUTANO Pistáchios Tostados No Forno 70 g,,,"2,89 €","41,29 €/Kg",,,
RAMIREZ Atum Assado à Algarvia 120 g,,,"1,89 €","15,75 €/Kg",,,
RAMIREZ Bacalhau À Portuguesa 120 g,,,"3,09 €","25,75 €/Kg",,,
NACIONAL Farinha de Trigo E Alfarroba 1 kg,,,"2,45 €","2,45 €/Kg",,,
