NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
MILKA Chocolate Toffee 300 g,MILKA,,"3,99 €","13,30 €/Kg",,,
GULLÓN Bolachas Digestivas Muesli 365 g,GULL,,"2,94 €","8,05 €/Kg",,,
DIA Café Solúvel Natural Sticks 25x2 g,DIA,,"2,69 €","53,80 €/Kg",,,
DELTA Café Torrado Grão 1 kg,DELTA,,"12,99 €","12,99 €/Kg",,,
DIA Infusão Maçã Canela 20 Un,DIA,,"1,29 €","0,06 €/ud",,,
DIA Doce de Tomate Extra  390 g,DIA,,"1,39 €","3,56 €/Kg",,,
DIA Rebuçados Peitorais 200 g,DIA,,"1,29 €","6,45 €/Kg",,,
DIA Canudinhos Recheados de Creme de Avelã 300 g,DIA,,"3,09 €","10,30 €/Kg",,,
NESCAFÉ DOLCE GUSTO Espresso Decaffeinato (Intensidade 5) 16 Un,NESCAF DOLCE GUSTO,,"5,99 €","0,37 €/ud",,,
DIA GRANJOY Cereais com Mel 500 g,DIA GRANJOY,,"2,87 €","5,74 €/Kg",,,
"TRIDENT Pastilhas Elásticas Fresh Peppermint 14,5 g",TRIDENT,,"0,89 €","63,57 €/Kg",,,
DIA DOCE NO LAR Palitos Glacê 200 g,DIA DOCE NO LAR,,"1,74 €","8,70 €/Kg",,,
"DIA Pastilhas Elásticas Menta 2x16,8 g",DIA,,"1,05 €","0,53 €/ud",,,
"DIA Pastilhas Elásticas Morango 2x16,8 g",DIA,,"1,05 €","0,53 €/ud",,,
NUTELLA Creme de Cacau com Avelãs 200 g,NUTELLA,,"2,39 €","11,95 €/Kg",,,
BELVITA Bolachas Matinais Leite E Cereais 300 g,BELVITA,,"2,49 €","8,30 €/Kg",,,
CUÉTARA Bolachas Bocaditos Limão 150 g,CU TARA,,"1,99 €","13,27 €/Kg",,,
TRIUNFO GO Bolachas Digestivas de Maçã 171 g,TRIUNFO GO,,"1,69 €","9,88 €/Kg",,,
KRAVE Cereais de Avelã 410 g,KRAVE,,"4,49 €","10,95 €/Kg",,,
SUGUS Stick Multisabor 45 g,SUGUS,,"1,05 €","23,33 €/Kg",,,
"CHICLETS Pastilhas Elásticas Morango 16,5 g",CHICLETS,,"0,99 €","0,99 €/ud",,,
M&M'S Amendoim 45 g,,,"1,05 €","23,33 €/Kg",,,
GRANJA SAN FRANSCISCO Mel 1 kg,GRANJA SAN FRANSCISCO,,"10,99 €","10,99 €/Kg",,,
CUÉTARA Bolachas Flakes Nocilla 175 g,CU TARA,,"2,99 €","17,09 €/Kg",,,
NESCAFÉ DOLCE GUSTO Achocolatado Nesquik 16 Un,NESCAF DOLCE GUSTO,,"5,99 €","0,37 €/ud",,,
GRANJA SAN FRANSCISCO Mel Com Doseador 500 g,GRANJA SAN FRANSCISCO,,"6,59 €","13,18 €/Kg",,,
NESCAFÉ DOLCE GUSTO Café Au Lait 16 Un,NESCAF DOLCE GUSTO,,"5,99 €","0,37 €/ud",,,
GULLÓN Zero Sem Açúcares Maria 400 g,GULL,,"2,84 €","7,10 €/Kg",,,
OREO Bolacha Duplo 185 g,OREO,,"1,69 €","9,14 €/Kg",,,
DIA GRANJOY Cereais Bolachas Pepitas de Chocolate  375 g,DIA GRANJOY,,"2,05 €","5,47 €/Kg",,,
NESCAFÉ DOLCE GUSTO Café Expresso Sical (Intensidade 7) 16 Un,NESCAF DOLCE GUSTO,,"5,99 €","0,37 €/ud",,,
TUC Bolachas Crackers 250 g,TUC,,"2,49 €","9,96 €/Kg",,,
CHIPS AHOY! Bolachas Com Pepitas de Chocolate XL 184 g,CHIPS AHOY XL,,"2,59 €","14,08 €/Kg",,,
ARTIACH Bolacha Chiquilin Chiquichocs  140 g,ARTIACH,,"2,19 €","15,64 €/Kg",,,
LIPTON Chá Infusão de Cidreira e Mel Pyramid  20 Un,LIPTON,,"1,94 €","0,10 €/ud",,,
FERBAR Marmelada 400 g,FERBAR,,"1,99 €","4,98 €/Kg",,,
DIA Cápsulas de Café Descafeinado Intensidade 8 10 Un,DIA,,"1,99 €","0,20 €/ud",,,
LION Cereais de Chocolate e Caramelo Nestlé 400 g,LION,,"2,52 €","6,30 €/Kg",,,
CUÉTARA Bolacha Tosta Rica Chocoguay 168 g,CU TARA,,"2,29 €","13,63 €/Kg",,,
NICOLA Cápsulas De Café Bocage (Intensidade 7) 12 un,NICOLA,,"3,14 €","0,26 €/ud",,,
NICOLA Cápsulas De Café Selecto (Intensidade 6) 12 un,NICOLA,,"3,14 €","0,26 €/ud",,,
DELTA Q Cápsulas de Café Qharacter 10 Un,DELTA,,"3,39 €","0,34 €/ud",,,
DELTA Q Cápsulas de Café deQafeinatus 10 Un,DELTA,,"3,39 €","0,34 €/ud",,,
NESCAFÉ DOLCE GUSTO Café Expresso Buondi (Intensidade 8) 30 Un,NESCAF DOLCE GUSTO,,"10,49 €","0,35 €/ud",,,
"CHICLETS Pastilhas Elásticas Spearmint 16,5 g",CHICLETS,,"0,99 €","0,99 €/ud",,,
DELTA Cevada Especial  250 g,DELTA,,"0,89 €","3,56 €/Kg",,,
LIPTON Chá Tília Pyramid 20 Un,LIPTON,,"1,89 €","0,09 €/ud",,,
TETLEY Chá Preto 10 Un,TETLEY,,"0,94 €","0,09 €/ud",,,
TETLEY Infusão de Cidreira 10 un,TETLEY,,"1,14 €","0,11 €/ud",,,
MARS Snack de Chocolate E Caramelo 51 g,MARS,,"1,05 €","20,59 €/Kg",,,
GRAN PAVESI Bolachas Crackers Sem Sal 560 g,GRAN PAVESI,,"2,79 €","4,98 €/Kg",,,
BOCA DOCE Pudim Morango 22 g,BOCA DOCE,,"0,44 €","20,00 €/Kg","0,59 €","26,82 €/Kg",
CRUNCH Chocolate Nestlé 40 g,CRUNCH,,"0,99 €","24,75 €/Kg",,,
CUÉTARA Bolacha Tosta Rica Oceanix de Chocolate com Pepitas de Chocolate 160 g,CU TARA,,"2,09 €","13,06 €/Kg",,,
TRIDENT Pastilhas Elásticas 60 Minutos Peppermint 20 g,TRIDENT,,"0,95 €","47,50 €/Kg",,,
TRIDENT Pastilhas Elásticas Spearmint 60M 20 g,TRIDENT,,"0,95 €","47,50 €/Kg",,,
CUÉTARA Bolachas Ricanela 500 g,CU TARA,,"2,99 €","5,98 €/Kg",,,
"DIA VITAL Tortitas de Milho com Chocolate 90,4 g",DIA VITAL,,"1,53 €","16,92 €/Kg",,,
BOCA DOCE Pudim Caramelo  22 g,BOCA DOCE,,"0,44 €","20,00 €/Kg","0,59 €","26,82 €/Kg",
HARIBO Bolsa de Gomas Favoritos 90 g,HARIBO,,"1,09 €","12,11 €/Kg",,,
NESCAFÉ DOLCE GUSTO Café Ristretto Barista (Intensidade 9) 16 Un,NESCAF DOLCE GUSTO,,"5,99 €","0,37 €/ud",,,
LION Snack de Chocolate de Leite 3x42 g,LION,,"2,19 €","17,38 €/Kg",,,
QUINTA DE JUGAIS Doce de Abóbora com Noz 280 g,QUINTA DE JUGAIS,,"2,74 €","9,79 €/Kg",,,
DIA GALLETECA Bolacha de Cacau 750 g,DIA GALLETECA,,"2,69 €","3,59 €/Kg",,,
MILKA Chocolate Choco Jelly 250 g,MILKA,,"3,99 €","15,96 €/Kg",,,
CEM PORCENTO Bolachas Marinheiras Sem Sal 200 g,CEM PORCENTO,,"2,89 €","14,45 €/Kg",,,
DIA Infusão Tília 25 Un,DIA,,"0,85 €","0,85 €/ud",,,
DIA Chá Verde 25 Un,DIA,,"1,05 €","1,05 €/ud",,,
TWIX Mini Snacks Chocolate de Caramelo e Bolacha 170 g,TWIX,,"2,89 €","17,00 €/Kg",,,
MILKA Chocolate Bubbly Caramelo 250 g,MILKA,,"3,99 €","15,96 €/Kg",,,
TRIUNFO Bolachas de Aveia 190 g,TRIUNFO,,"1,49 €","7,84 €/Kg",,,
MALTESERS Drageias de Chocolate 85 g,MALTESERS,,"2,19 €","25,76 €/Kg",,,
CONDI Gelatina Light Mirtilo  2x15 g,CONDI,,"1,89 €","63,00 €/Kg",,,
CONDI Gelatina Light Frutos Vermelhos  2x15 g,CONDI,,"1,89 €","63,00 €/Kg",,,
NACIONAL PowerZ 300 g,NACIONAL,,"2,65 €","8,83 €/Kg",,,
CHUPA CHUPS Chupa Mini Bolsa 120 g,CHUPA CHUPS,,"3,55 €","29,58 €/Kg",,,
