NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
SHOYCE Bebida de Amêndoa 1 L,,,"1,75 €","1,75 €/l","2,19 €","2,19 €/l",
DIA VITAL Bebida de Amêndoa 1 L,,,"1,64 €","1,64 €/l",,,
DIA VITAL Bebida de Aveia 1 L,,,"1,53 €","1,53 €/l",,,
DIA LÁCTEA Leite Magro Sem Lactose 1 L,,,"1,07 €","1,07 €/l",,,
NESTUM ZERO Cereais de Arroz sem Glúten Nestlé 250 g,,,"2,89 €","11,56 €/Kg",,,
MIMOSA Leite Chocolate Meio Gordo Sem Lactose 200 ml,,,"0,59 €","2,95 €/l",,,
MIMOSA Leite Meio Gordo Sem Lactose UHT 200 ml,,,"0,52 €","2,60 €/l",,,
DIA Mini Tortas De Milho 8x25 g,,,"2,05 €","10,25 €/Kg",,,
MIMOSA Iogurte Sólido 0% Lactose Magro 4x120 g,,,"2,09 €","4,35 €/Kg",,,
MIMOSA Iogurte Líquido Bem Especial sem Lactose Sabor Morango 4x156 g,,,"2,09 €","3,46 €/l",,,
"BE-KIND Barra de Amêndoa, Caramelo e Sal Marinho 40 g",,,"1,99 €","49,75 €/Kg",,,
BE-KIND Barra de Frutos Secos com Chocolate Negro e Sal Marinho 40 g,,,"1,99 €","49,75 €/Kg",,,
BE-KIND Barra Manteiga de Amendoim e Chocolate Negro 40 g,,,"1,99 €","49,75 €/Kg",,,
PARMALAT Nata Culinária Sem Lactose 200 ml,,,"1,32 €","6,60 €/l",,,
YOGOLINO Pêssego e Banana com 0% Açúcares Adicionados Nestlé 4x100 g,,,"2,89 €","7,23 €/Kg",,,
SHOYCE Bebida de Amêndoa 0% Açúcar 1 L,,,"1,75 €","1,75 €/l","2,19 €","2,19 €/l",
ORIGENS BIO Sal Grosso dos Himalaias 500 g,,,"1,25 €","2,50 €/Kg",,,
NESTUM Flocos de Cereis Espelta e Aveira Zero 250 g,,,"2,49 €","9,96 €/Kg",,,
NACIONAL Farinha de Grão de Bico 400 g,,,"2,15 €","5,38 €/Kg",,,
SALUTEM Barrita de Sésamo e Chia 40 g,,,"0,98 €","24,50 €/Kg",,,
SALUTEM Barrita de Sésamo e Mel 40 g,,,"0,89 €","22,25 €/Kg",,,
IZIDORO Salsicha Vegan Frasco 5 unidades 220 g,,,"5,15 €","23,41 €/Kg",,,
SHOYCE Bebida Aveia e Amêndoa 0% 1 L,,,"1,75 €","1,75 €/l","2,19 €","2,19 €/l",
