Nome,Preço,Preço Antigo,PpU,PpU Antigo
TENA Lady Pensos Incontinência Mulher Super 30 un,"16,99 €",,"0,57 €/ud",
FRUCTIS Champô Anticaspa 250 ml,"3,99 €",,"15,96 €/l",
FRUCTIS Champô Hidra-Caracóis 250 ml,"3,99 €",,"15,96 €/l",
FRUCTIS Champô Força e Brilho 250 ml,"3,99 €",,"15,96 €/l",
FRUCTIS Condicionador Força e Brilho 200 ml,"3,99 €",,"19,95 €/l",
ELNETT Laca de Cabelo Satin Cabelos Pintados 300 ml,"5,99 €",,"19,97 €/l",
CORINE DE FARME Toalhitas Íntimas Suave E Protetor Uso Diário 10 Un,"2,19 €",,"0,22 €/ud",
LINIC MEN Champô Anti-Queda 360 ml,"4,94 €",,"13,72 €/l",
LINIC Champô Controlo Oleosidade 360 ml,"4,94 €",,"13,72 €/l",
DIADERMINE Creme Anti Rugas Expert 3D Dia 50 ml,"18,12 €",,"362,40 €/l",
NIVEA Gel Banho Care & Star Fruit  500 ml,"6,49 €",,"12,98 €/l",
NIVEA MEN Gel de Barbear Peles Sensíveis 200 ml,"4,49 €",,"22,45 €/l",
GLISS Champô Ultimate Color Para Cabelos Pintados  250 ml,"5,14 €",,"20,56 €/l",
GLISS Spray Condicionador para Cabelo Total Repair 200 ml,"7,82 €",,"39,10 €/l",
GLISS Amaciador Protecção Cor  200 ml,"5,14 €",,"25,70 €/l",
GLISS Condicionador Oil Nutritive 200 ml,"5,14 €",,"25,70 €/l",
GLISS Spray Condicionador Oil Nutritive 19 200 ml,"7,82 €",,"39,10 €/l",
SYOSS Champô Repair 440 ml,"6,99 €",,"15,89 €/l",
GLISS Champô Oil Nutritive 400 ml,"6,79 €",,"16,98 €/l",
SYOSS Champô Volume 440 ml,"7,69 €",,"17,48 €/l",
SYOSS Champô Cores 440 ml,"6,99 €",,"15,89 €/l",
SYOSS Laca Máximo Segurar  400 ml,"8,54 €",,"21,35 €/l",
L'ORÉAL Desodorizante Roll-On Men Expert Carbon Protect Intense Ice 50 ml,"3,99 €",,"79,80 €/l",
SYOSS Coloração 1-4 Preto Azulado  1 un,"9,26 €",,"9,26 €/ud",
SYOSS Coloração 4-8 Castanho Chocolate  1 un,"9,26 €",,"9,26 €/ud",
PALMOLIVE Sabonete Naturals Amêndoa e Leite 4x90 g,"4,49 €",,"12,47 €/Kg",
PANTENE Máscara Caracóis Perfeitos 300 ml,"6,59 €",,"21,97 €/l",
ULTRA SUAVE Creme Pentear Abacate/Kartité 200 ml,"3,49 €",,"17,45 €/l",
POLIDENT Creme Fixativo Original 70 g,"7,39 €",,"105,57 €/Kg",
NIVEA Máscara Vissage Q10 15 ml,"2,24 €",,"149,33 €/l",
DIADERMINE Creme de Rosto Lift + Efeito Imediato 50 ml,"18,12 €",,"362,40 €/l",
ATRIX Creme de Proteção Intensiva 150 ml,"4,99 €",,"33,27 €/l",
NIVEA Sabão Sólido Milk 90 g,"1,19 €",,"13,22 €/Kg",
NIVEA Sabão Sólido Strawberry 90 g,"1,19 €",,"13,22 €/Kg",
NIVEA Sabão Sólido Coconut & Almond Oil 90 g,"1,19 €",,"13,22 €/Kg",
NIVEA Sabão Sólido Aloe Vera & Flowers 90 g,"1,19 €",,"13,22 €/Kg",
AQUAFRESH Pasta de Dentes Menta Fresca 75 ml,"2,39 €",,"31,87 €/l",
GLISS Champô Protecção Cores  370 ml,"6,79 €",,"18,35 €/l",
NIVEA MEN Desodorizante Spray Invisible Black & White Original 150 ml,"2,81 €",,"18,73 €/l",
PALMOLIVE Sabonete Líquido Leite Amêndoas 300 ml,"3,79 €",,"12,63 €/l",
REXONA Desodorizante Spray Biorythm 150 ml,"4,49 €",,"29,93 €/l",
LINIC Champô Eficácia Ativa Homem 225 ml,"3,36 €",,"14,93 €/l",
NIVEA Tónico Facial Suave 200 ml,"5,99 €",,"29,95 €/l",
PANTENE Espuma Caracóis Definidos E Suaves 200 ml,"4,99 €",,"24,95 €/l",
GLISS Champô Seco Anti-Oleosidade 200 ml,"8,85 €",,"44,25 €/l",
COLGATE Kit Viagem Pasta E Escova 1 Un,"4,99 €",,"4,99 €/ud",
