Nome,Preço,Preço Antigo,PpU,PpU Antigo
BUITONI Pizza Forno Di Piedra Caprese 350 g,"4,25 €",,"12,14 €/Kg",
BUITONI Pizza Forno Di Piedra Fiambre e Cogumelos 340 g,"4,25 €",,"12,50 €/Kg",
IGLO Nuggets Americanos 38 un,"15,99 €",,"22,94 €/Kg",
PESCANOVA Muslitos do Mar 250 g,"1,60 €",,"6,40 €/Kg",
RIBERALVES Lombos de Bacalhau 4 Meses de Cura 550 g,"11,69 €",,"21,25 €/Kg",
PESCANOVA Filetes de Pescada Panados com Ervas 400 g,"2,69 €",,"6,73 €/Kg",
MARFRESCO Camarão Madagáscar 30/40 400 g,"8,99 €",,"22,48 €/Kg",
RIBERALVES Posta Tradicional Bacalhau 4 Meses Cura 750 g,"11,69 €",,"15,59 €/Kg",
DIA Pizza Bolonhesa 400 g,"2,75 €",,"7,33 €/Kg",
DIA Pizza Especial 360 g,"3,18 €",,"8,83 €/Kg",
IGLO Filetes Primavera Quinoa e 4 Sementes 250 g,"3,49 €",,"13,96 €/Kg",
MARFRESCO Posta de Perca do Nilo (1 un = 315 g aprox),"3,46 €",,"10,99 €/Kg",
MARFRESCO Red Fish 300/500 (1 un = 430 g aprox),"2,88 €",,"6,69 €/Kg",
BRASMAR Camarão 20/30,"12,99 €",,"12,99 €/Kg",
MARFRESCO Posta de Pescada Nº5 (1 un = 225 g aprox),"2,14 €",,"9,49 €/Kg",
"PESCANOVA Barrinhas de Pescada 1,2 kg","6,31 €",,"5,26 €/Kg",
BEIRANOVA Tentáculos de Pota 800 g,"5,99 €",,"7,49 €/Kg",
MAGNUM Gelado Multipack Magnum Amêndoas 4x110 ml,"4,99 €",,"11,34 €/l",
DIA TEMPTATION Gelado de Menta Com Chocolate 500 ml,"2,39 €",,"4,78 €/l",
DIA TEMPTATION Gelados Cones com Sabor Nata e Chocolate 6x110 ml,"1,79 €",,"2,71 €/l",
DIA TEMPTATION Gelado Cones Sabor Nata E Caramelo 6x110 ml,"1,79 €",,"2,71 €/l",
DIA TEMPTATION Gelado Cones Sabor Nata 6x68 g,"1,79 €",,"2,71 €/l",
DIA TEMPTATION Sorvete de Iogurte de Morango 6x60 ml,"2,15 €",,"5,97 €/l",
DIA TEMPTATION Gelados Mini 4 Sabores 12x36 g,"2,59 €",,"4,32 €/l",
DIA VEGECAMPO Ervilhas 1 kg,"1,49 €",,"1,49 €/Kg",
PESCANOVA Lombos Bacalhau Atlântico 600 g,"10,79 €",,"17,98 €/Kg",
PESCANOVA Medalhões de Pescada 400 g,"7,19 €",,"17,98 €/Kg",
DIA VEGECAMPO Jardineira 1 kg,"1,18 €",,"1,18 €/Kg",
DIA VEGECAMPO Feijão Verde Plano 1 kg,"2,16 €",,"2,16 €/Kg",
DIA MARI MARINHEIRA Muslitos do Mar 250 g,"1,85 €",,"7,40 €/Kg",
DIA TEMPTATION Gelados Multipack Big de Chocolate de Leite 4X120 ml,"1,85 €",,"3,85 €/l",
PESCANOVA Miolo de Camarão 350 g,"7,19 €",,"20,54 €/Kg",
DIA PRA JÁ! Lasanha Bolonhesa 500 g,"2,60 €",,"5,20 €/Kg",
"DIA BATATAS UNIDAS Batata Pré-Frita 2,5 kg","4,65 €",,"1,86 €/Kg",
CARTE D'OR Gelado de Stracciatela 900 ml,"3,29 €",,"3,66 €/l",
DIA DELI SALGADO Pastéis de Bacalhau 12 Un,"2,39 €",,"6,83 €/Kg",
DIA DELI SALGADO Rissóis de Camarão 8 Un,"1,55 €",,"4,43 €/Kg",
