Nome,Preço,Preço Antigo,PpU,PpU Antigo
MIMOSA Leite Magro 1 L,"0,95 €",,"0,95 €/l",
MIMOSA Leite UHT Meio Gordo 1 L,"0,95 €",,"0,95 €/l",
MIMOSA Leite UHT Gordo 1 L,"1,14 €",,"1,14 €/l",
A VACA QUE RI Queijo Fundido Porções (8 unidades) 140 g,"2,23 €",,"15,93 €/Kg",
"DIA LÁCTEA Iogurte Pedaços de Morango, Framboesa E Pêssego 8x125 g","2,25 €",,"2,25 €/Kg",
MATINAL Leite UHT Meio Gordo 1 L,"0,98 €",,"0,98 €/l",
PALHAIS Queijo de Cabra Original 2x100 g,"3,89 €",,"19,45 €/Kg",
DIA Ovos Classe L 6 Un,"1,47 €",,"1,47 €/ud",
MIMOSA Leite UHT Meio Gordo Com Cálcio 200 ml,"0,50 €",,"2,50 €/l",
MIMOSA Leite Magro Com Cálcio 1 L,"1,05 €",,"1,05 €/l",
MIMOSA Leite UHT Meio Gordo Com Cálcio 1 L,"1,05 €",,"1,05 €/l",
DIA LÁCTEA Leite Com Chocolate 3x200 ml,"0,87 €",,"1,45 €/l",
TERRA NOSTRA Queijo Flamengo Fatias 200 g,"2,39 €",,"11,95 €/Kg",
DIA LÁCTEA Queijo Fresco 2x250 g,"2,69 €",,"5,38 €/Kg",
DIA LÁCTEA Iogurte Líquido Aroma Morango 160 g,"0,36 €",,"0,36 €/ud",
AGROS Leite Meio Gordo 1 L,"0,82 €",,"0,82 €/l",
LAGOS Queijo de Ovelha Amanteigado de Seia 1 Un,"7,99 €",,"7,99 €/ud",
DIA Queijo Emmental 250 g,"2,45 €",,"9,80 €/Kg",
UCAL Leite Com Chocolate 250 ml,"0,72 €",,"2,88 €/l",
MATINAL Manteiga Magra 250 g,"2,39 €",,"9,56 €/Kg",
MILHAFRE Manteiga Dos Açores 250 g,"2,04 €",,"8,16 €/Kg",
AGROS Leite Com Chocolate 200 ml,"0,42 €",,"2,10 €/l",
