Nome,Preço,Preço Antigo,PpU,PpU Antigo
DIA (A) MAR À VISTA Migas de Paloco 500 g,"4,15 €",,"8,30 €/Kg",
DIA DOCE NO LAR Mix de Frutos Vermelhos 600 g,"3,09 €",,"5,15 €/Kg",
DIA DOCE NO LAR Mix de Frutos Tropicais 450 g,"3,55 €",,"7,89 €/Kg",
DIA DOCE NO LAR Morangos Congelados 600 g,"2,95 €",,"4,92 €/Kg",
DIA DOCE NO LAR Strudel de Maçã 600 g,"2,59 €",,"4,32 €/Kg",
"DIA MARI MARINHEIRA Polvo Limpo Congelado (1,4 kg - 1,8 kg) (1 un = 1800 g aprox)","27,70 €",,"15,39 €/Kg",
CÔTE D'OR Chocolate Leite Mignonnette 240 g,"5,99 €",,"24,96 €/Kg",
CÔTE D'OR Chocolate Negro Mignonnette 240 g,"5,99 €",,"24,96 €/Kg",
DIA O CHOCALHO Queijo de Ovelha Amanteigado 500 g,"6,99 €",,"13,98 €/Kg",
Pai Natal Chocolate Leite 60 g,"0,89 €",,"14,83 €/Kg",
Pai Natal Chocolate 150 g,"1,59 €",,"10,60 €/Kg",
Saqueta com Sinos 100 g,"1,79 €",,"17,90 €/Kg",
DIA DOCE NATAL Bolachas de Gengibre 300 g,"2,59 €","3,49 €","8,63 €/Kg","11,63 €/Kg"
DIA ESPECIALÍSSIMO Fruta Cristalizada Picada 250 g,"2,59 €",,"10,36 €/Kg",
DIA O CHOCALHO Queijo Curado Meio Gordo 520 g,"4,89 €",,"9,40 €/Kg",
DIA SABOR CHARCUTEIRO Alheira de Caça 180 g,"1,79 €",,"9,94 €/Kg",
DIA SELEÇÃO MUNDIAL Queijo Gouda Fatias 240 g,"1,95 €",,"8,13 €/Kg",
DIA CAFETARIA Cápsulas de Café Fortíssimo (Intensidade 14) 10 un,"2,15 €",,"0,22 €/ud",
FORNADA DO DIA Bolo Rei 200 g,"3,49 €",,"17,45 €/Kg",
DIA TEMPTATION Sortido de Bombons Chocolate Negro 75% 180 g,"2,59 €","3,49 €","14,39 €/Kg","19,39 €/Kg"
FERRERO ROCHER Dark Origins 15 un,"7,29 €",,"39,41 €/Kg",
CONFEITARIA ALVORADA Panettone Frutas 500 g,"3,59 €","3,99 €","7,18 €/Kg","7,98 €/Kg"
CONFEITARIA ALVORADA Panettone Chocolate 500 g,"3,59 €","3,99 €","7,18 €/Kg","7,98 €/Kg"
DENIM Coffret Original Deo + Gel Banho 1 un,"5,84 €","8,99 €","5,84 €/ud","8,99 €/ud"
Garagem de 2 Pisos com 3 Carros,"14,49 €",,"14,49 €/ud",
Conjunto de Beleza,"13,49 €",,"13,49 €/ud",
DIA TEMPTATION Bombom Crocanti Chocolate e Avelã 150 g,"3,49 €",,"23,27 €/Kg",
CLEMENTONI Jogo Pocket Conta-me Uma História,"7,99 €",,"7,99 €/ud",
LINDOR Bombons Caramelo Salgado 200 g,"6,39 €",,"31,95 €/Kg",
Saquetas com Pinhas de Natal 100 g,"1,79 €",,"17,90 €/Kg",
Saquetas com Bolas de Natal 100 g,"1,79 €",,"17,90 €/Kg",
M&M'S Calendário Advento 361 g,"7,49 €","9,99 €","20,75 €/Kg","27,67 €/Kg"
AXE Pack Bolsa Apollo Gel de Banho 400 ml + Spray 150 ml + Cera Cabelo 75 ml,"16,24 €",,"16,24 €/ud",
DOVE Pack Bolsa Original Gel de Banho 250 ml + Creme 150 ml + Roll On 50 ml,"13,64 €","20,99 €","13,64 €/ud","20,99 €/ud"
DOVE Pack Bolsa Men Extra Fresh Gel de Banho 400 ml + Roll On 50 ml,"12,49 €","24,98 €","12,49 €/ud","24,98 €/ud"
DOVE Pack Bolsa Silk Gel de Banho 500 ml + Loção 300 ml + Roll On 50 ml,"16,89 €","25,99 €","16,89 €/ud","25,99 €/ud"
REGINA Sortido de Fantasias de Chocolate de Leite 108 g,"3,99 €",,"36,94 €/Kg",
ORAL-B Pack Escova Elétrica Frozen + Estojo,"23,24 €",,"23,24 €/ud",
MON CHÉRI Licor Laranja Ferrero 15 un,"5,29 €",,"33,69 €/Kg",
LACASA Trufas Embrulho Cacau 85 g,"1,24 €",,"14,59 €/Kg",
ALVAREZ GÓMEZ Coffret Coquette Collection Fleurs du Paradis,"11,95 €",,"11,95 €/ud",
ALVAREZ GÓMEZ Coffret Lata Collection Azahar,"12,95 €",,"12,95 €/ud",
