Nome,Preço,Preço Antigo,PpU,PpU Antigo
DIA SABOR CHARCUTEIRO Peito de Peru Fatias Finas 100 g,"1,29 €",,"12,90 €/Kg",
DANONINO Petitdino Morango 6x50 g,"2,39 €",,"7,97 €/Kg",
DANONINO Petitdino Morango/Banana 6x50 g,"2,39 €",,"7,97 €/Kg",
NESTLÉ Pacotinho 4 Frutas Para Bebé +6 Meses 90 g,"1,05 €",,"11,67 €/Kg",
DIA SONHOS Gelatina de Morango 6x100 g,"1,39 €",,"2,32 €/Kg",
NESTLÉ GO FREE Corn Flakes Cereais de Milho sem Glúten 375 g,"2,99 €",,"7,97 €/Kg",
NESTLÉ Pacotinho Banana Maçã Para Bebé +6 Meses 90 g,"1,05 €",,"11,67 €/Kg",
NESCAFÉ DOLCE GUSTO Café Ristretto Ardenza (Intensidade 11) 16 Un,"5,99 €",,"0,37 €/ud",
BICENTURY Tortitas de Milho Sem Glúten 130 g,"1,79 €",,"13,77 €/Kg",
NESTLÉ EXTRAFINO Tablete de Chocolate de Leite sem Glúten 125 g,"1,89 €",,"15,12 €/Kg",
NESTLÉ EXTRAFINO Tablete de Chocolate de Leite com Avelãs sem Glúten 123 g,"1,89 €",,"15,37 €/Kg",
IZIDORO Salsichas Bockwurst 8 Un,"3,62 €",,"9,16 €/Kg",
IGLO Hambúrguer Frango Sem Glúten 4 Un,"5,99 €",,"24,96 €/Kg",
IGLO Hambúrguer Vaca Sem Glúten 4 Un,"5,99 €",,"18,72 €/Kg",
CRUNCH Tablete de Chocolate Nestlé 100 g,"1,99 €",,"19,90 €/Kg",
NESQUIK Achocolatado em Pó sem Glúten 390 g,"2,74 €",,"7,03 €/Kg",
SICAL Café Torrado Moído Lote Clássico Moagem Fina (Intensidade 10) 250 g,"3,59 €",,"14,36 €/Kg",
DIA SABOR CHARCUTEIRO Chouriço Corrente 200 g,"1,19 €",,"5,95 €/Kg",
JUNIORSMILE Pasta de Dentes Júnior 100 ml,"1,25 €",,"12,50 €/l",
DIA Manteiga Dos Açores 250 g,"2,09 €",,"8,36 €/Kg",
DIA Salsichas de Aves Em Frasco 5 Un,"1,95 €",,"4,64 €/Kg",
DIA Flan de Baunilha 6x100 g,"1,15 €",,"1,92 €/Kg",
CERELAC Primeira Papa Láctea Multifrutos Sem Glúten +4 Meses 250 g,"3,99 €",,"15,96 €/Kg",
DIA SABOR CHARCUTEIRO Fatias de Afiambrado 2x110 g,"1,49 €",,"6,77 €/Kg",
DIA TEMPTATION Gelado Doce de Leite 900 ml,"2,59 €",,"2,88 €/l",
DIA VITAL Bebida de Soja Natural 3x200 ml,"1,02 €",,"1,70 €/l",
DIA VITAL Bebida de Soja Light 1 L,"1,12 €",,"1,12 €/l",
NESCAFÉ DOLCE GUSTO Café Expresso Buondi (Intensidade 8) 16 Un,"5,99 €",,"0,37 €/ud",
DIA VITAL Bebida de Soja de Chocolate 3x200 ml,"1,33 €",,"2,22 €/l",
"BLÉDINA Puré Fruta Maçã, Laranja & Banana 4x95 g","2,79 €",,"7,34 €/Kg",
BARILLA Molho Pesto Barilla 190 g,"3,74 €","4,99 €","19,68 €/Kg","26,26 €/Kg"
DIA SIMPRATICO Hambúrguer de Frango Sem Glúten 320 g,"2,75 €",,"8,59 €/Kg",
DIA TEMPTATION Creme Cacau Duo 750 g,"2,95 €",,"3,93 €/Kg",
SHOYCE Creme Culinário 200 ml,"1,11 €",,"5,55 €/l",
NIDO Leite Em Pó Gordo Nestlé 680 g,"8,99 €",,"13,22 €/Kg",
NESTLÉ Tablete de Chocolate Preto 90 g,"1,49 €",,"16,56 €/Kg",
NESTLÉ Pacotinho Fruta Para Bebé Multifrutas +6 Meses 90 g,"1,05 €",,"11,67 €/Kg",
NOBRE Cuida-t+ Peito de Peru Fatias Finas 110 g,"2,69 €",,"24,45 €/Kg",
SHOYCE Bebida de Aveia 200 ml,"0,73 €",,"3,65 €/l",
SHOYCE Bebida de Amêndoa 1 L,"2,19 €",,"2,19 €/l",
DIA VITAL Bebida de Amêndoa 1 L,"1,64 €",,"1,64 €/l",
NESTLÉ Pacotinho Fruta Para Bebé Maçã e Manga +6 Meses 90 g,"1,05 €",,"11,67 €/Kg",
NESTLÉ Leite Condensado Tradicional 370 g,"1,49 €",,"4,03 €/Kg",
DIA LÁCTEA Iogurte Líquido Morango 1 kg,"1,65 €",,"1,65 €/Kg",
NESTUM ZERO Cereais de Arroz sem Glúten Nestlé 250 g,"2,49 €",,"9,96 €/Kg",
BUONDI Cápsulas de Café Buondi By Nespresso Original Nestlé 10 Un,"4,09 €",,"0,41 €/ud",
NESTLÉ Chocolate de Leite E Amendoim 90 g,"1,49 €",,"16,56 €/Kg",
DIA TEMPTATION Smoothie Frutas Sabor Tropical e Sabor Frutos Vermelhos 6x55 ml,"2,39 €",,"7,24 €/l",
DIA TEMPTATION Gelados Mini Caramelo e Framboesa 6x50 ml,"2,55 €",,"8,50 €/l",
NESCAFÉ DOLCE GUSTO Café Ristretto Napoli (Intensidade 13) 16 un,"5,99 €",,"0,37 €/ud",
"BE-KIND Barra de Amêndoa, Caramelo e Sal Marinho 40 g","1,99 €",,"49,75 €/Kg",
BE-KIND Barra Manteiga de Amendoim e Chocolate Negro 40 g,"1,99 €",,"49,75 €/Kg",
